Subject,Session,Phi,Phi_z
1,1,1562.837821,0.965067777
1,2,1964.407633,1.204139227
1,3,1451.303371,0.987811828
1,4,1761.583468,1.054586636
2,1,1794.1224,1.185493401
2,2,2262.758922,0.860236118
2,3,1906.755326,0.850284019
2,4,1637.364962,0.88706297
3,1,1135.47058,0.902524025
3,2,1524.433041,0.784703855
3,3,1509.294557,0.822727773
3,4,1529.049919,0.921506258
4,1,1742.83836,0.992869808
4,2,1573.547564,0.798301662
4,3,1831.246734,0.782849247
4,4,1305.414863,0.893858419
5,1,1417.022154,0.960093589
5,2,2036.833711,1.0370124
5,3,1367.186017,0.951928717
5,4,1779.834066,1.262591265
6,1,1544.680115,0.898228068
6,2,1343.231564,0.77349249
6,3,1104.912603,0.577226427
6,4,1313.589905,0.931188255
7,1,2462.707976,1.192054197
7,2,2468.976061,1.076727803
7,3,1329.408229,0.987938003
7,4,1807.037262,1.255210393
8,1,1526.934803,1.133146356
8,2,1349.959454,0.990469248
8,3,1600.584426,1.102240943
8,4,1714.441345,1.080958612
9,1,1494.039059,0.952410396
9,2,1613.547034,0.830162236
9,3,2199.244856,1.015723414
9,4,1382.940739,0.992393422
10,1,1465.782265,1.008867807
10,2,1769.591813,1.049462897
10,3,1117.079015,0.778835038
10,4,1708.648864,1.005365562
11,1,1360.780171,0.851141235
11,2,2150.225131,0.905942243
11,3,2626.410293,1.095687515
11,4,2233.324035,1.024941692
12,1,1597.535156,0.987841193
12,2,1178.655777,0.741934191
12,3,1798.412597,0.837502793
12,4,1609.673366,1.003267076
13,1,2151.561375,1.075893685
13,2,1817.565022,0.943162619
13,3,1630.822241,0.969942267
13,4,1270.510889,0.844117331
14,1,1975.897284,1.217876241
14,2,1854.823215,1.039324035
14,3,2126.815464,0.933628147
14,4,1508.917617,1.061598309
15,1,1607.183365,1.024076504
15,2,1672.020497,0.899866001
15,3,1395.149706,0.86224278
15,4,1600.203772,1.159544328
16,1,1523.747798,0.918048362
16,2,1631.791852,0.825288971
16,3,1541.743422,0.963241852
16,4,2001.606553,1.285550049
17,1,1512.186772,0.989266766
17,2,1466.520408,0.956377545
17,3,1388.478753,0.781058596
17,4,1623.830877,1.067851143
