Subject,Session,Phi_,Phi_z
1,1,1638.259069,1.01002854
1,2,2501.644187,1.300762821
1,3,1983.363229,0.999512706
1,4,1940.4055,1.012889799
2,1,2540.506337,1.26442782
2,2,2065.446511,0.943679029
2,3,2109.812676,1.02214766
2,4,2440.721005,1.284961968
3,1,2697.18894,1.297395361
3,2,1527.687042,0.771229129
3,3,1591.883,0.876891635
3,4,1588.592436,0.925156887
4,1,2194.058149,1.027240386
4,2,2605.392004,1.186117494
4,3,1641.694543,0.828434846
4,4,2183.672589,0.99110625
5,1,2137.29468,1.03703214
5,2,3144.673984,1.455723772
5,3,2256.025761,1.062955479
5,4,2535.759749,1.224755752
6,1,2223.114302,1.060906622
6,2,2192.505725,1.006479465
6,3,1083.743676,0.63584737
6,4,2021.054279,0.955985348
7,1,2206.341649,1.202041416
7,2,2538.224095,1.193519236
7,3,2459.579068,1.186732161
7,4,1997.061279,1.052641228
8,1,1203.845508,0.639250066
8,2,1829.510436,0.927592316
8,3,1828.253999,1.009577301
8,4,1468.618342,0.754046466
9,1,1893.284425,1.064793313
9,2,1696.069387,1.040785588
9,3,1989.83758,0.926938011
9,4,1538.274843,0.806290077
10,1,1927.347759,0.962385639
10,2,2037.906493,1.078267262
10,3,2729.789103,1.491380948
10,4,2387.734221,1.223990317
11,1,1716.951944,0.994926106
11,2,2584.707057,1.18716151
11,3,2915.805516,1.206431121
11,4,3567.495426,1.584802302
12,1,1853.146542,1.015199874
12,2,1915.758161,0.952021211
12,3,1789.97807,0.743453344
12,4,2308.883147,1.031064869
13,1,2674.22804,1.33794305
13,2,1583.288714,0.744504021
13,3,1449.807305,0.683660186
13,4,1773.588598,1.046286761
14,1,1299.368476,0.819486339
14,2,2989.124112,1.426131105
14,3,1281.969624,0.723043896
14,4,3318.662753,1.529799649
15,1,2383.100528,1.185780744
15,2,2216.476162,1.153214548
15,3,2276.936937,1.261140691
15,4,1822.989722,1.056072545
16,1,1369.93003,0.864018273
16,2,1565.947184,0.885960911
16,3,2092.698455,1.186810655
16,4,1613.764371,0.941036872
17,1,828.2244471,0.505037239
17,2,1153.890698,0.712523334
17,3,1333.199324,0.704824755
17,4,1679.716889,0.922518184
