Subject,Session,t,Phi_,Phi_z
1,1,230.5,2457.36660150391,1.0852811357632
1,2,230.5,2687.96695097656,1.13570782870833
1,3,230.5,1825.82991212891,0.765652874752768
1,4,230.5,2209.56192625,1.08615351074641
2,1,124.5,2997.39379456522,1.30927346544547
2,2,126,2345.88618,1.05787572089978
2,3,230.5,2634.30842935546,1.09667221985609
2,4,127,2946.75716113475,1.26020221294443
3,1,130,2369.42156201388,0.966606326190361
3,2,121.5,2105.38577155556,0.885999748074525
3,3,230.5,2412.43753333984,1.02025887311065
3,4,230.5,2111.10384601563,0.891829026851096
4,1,121,2356.59643406717,0.969594159188383
4,2,129,2533.78505283217,1.11363025513531
4,3,230.5,1915.3772022461,0.78928533941229
4,4,230.5,1979.95217447265,0.833963914025188
5,1,230.5,1832.46307554688,0.788351613490796
5,2,230.5,2435.55850208985,1.03243252380434
5,3,230.5,2054.10893224609,0.865604413104443
5,4,118,1493.43809354962,0.665726253983091
6,1,230.5,2104.42148769531,0.93971008514437
6,2,145,1602.51852167702,0.660000874088861
6,3,126,1404.02153782143,0.592054312661624
6,4,130.5,2434.61466848276,1.29476413658894
7,1,124.5,2240.61939547102,1.03705025676831
7,2,125.5,2785.76294971223,1.12517316304396
7,3,230.5,2736.28072875,1.19451940660676
7,4,126,2797.9272355,1.28079607896774
8,1,133.5,2285.00307770271,0.937076184690048
8,2,230.5,2367.34721177735,0.97332733740277
8,3,122.5,1855.39751485294,0.807913140195575
8,4,230.5,1897.58756138672,0.837204520518193
9,1,230.5,2249.57934736328,0.943658495306285
9,2,130,2701.08091975695,1.16898246951442
9,3,230.5,2238.97058945313,0.917869606189458
9,4,230.5,2285.030726875,1.05933358487786
10,1,230.5,1894.85142777344,0.770003584828069
10,2,126,3121.807148,1.28807975625987
10,3,130.5,3245.91035937931,1.37061344437881
10,4,127,2373.59374553191,1.04309928101312
11,1,127,1752.61856177305,0.792473644030451
11,2,230.5,2137.83021736328,0.948066720802387
11,3,132.5,1633.83405561225,0.680247039365949
11,4,132.5,1833.26812986394,0.80441924373682
12,1,230.5,2187.56432455078,0.940220911527676
12,2,130,1411.54632392361,0.59830487038441
12,3,136,1302.4845352649,0.593056586725704
12,4,230.5,2408.01856388672,1.06760674239543
13,1,121.5,2974.44269681482,1.28114154348915
13,2,230.5,1833.92301632812,0.872786785266243
13,3,230.5,1283.88052410157,0.584421550274711
13,4,230.5,1863.39095658203,0.797430768185174
14,1,122.5,2166.94333985294,0.941891532596071
14,2,116.5,2047.8046470155,0.85608513756244
14,3,230.5,2108.71413220704,0.920231328936379
14,4,121,2286.94439231343,0.982384763563517
15,1,230.5,2996.41177275391,1.32259231935838
15,2,120,2379.89938007519,1.00527416331643
15,3,114.5,3105.21551311024,1.35577931060271
15,4,230.5,3048.0060296289,1.46381591580241
16,1,230.5,2267.38009791016,1.00367400487637
16,2,230.5,2068.5837963086,0.863971797132636
16,3,120,2429.66079093985,1.00616246875075
16,4,140.5,1880.69923285257,0.81398482307473
17,1,230.5,2097.04648371094,0.971400737306604
17,2,230.5,2524.70512662109,1.1578557095759
17,3,230.5,1818.59119578125,0.774719680114163
17,4,110,1928.42750245902,0.90922682393815
