Subject,Session,Phi_,Phi_z
1,1,6897.558595,0.872388717
1,2,6822.503856,0.780426872
1,3,5211.510383,0.673046825
1,4,6085.514939,0.666696271
2,1,8291.584139,1.026471586
2,2,6590.172195,0.756211262
2,3,4711.216684,0.593133356
2,4,7874.325373,0.963078081
3,1,6420.664418,0.701362328
3,2,4015.695897,0.381717777
3,3,7560.964775,0.821303862
3,4,6844.439134,0.78860316
4,1,9418.554651,1.0823802
4,2,4203.274893,0.466032532
4,3,4417.148878,0.532486411
4,4,8831.809373,0.964048968
5,1,10448.21884,1.116492086
5,2,7374.19901,0.770208497
5,3,5735.628241,0.675427984
5,4,8067.656303,0.856316411
6,1,8212.923385,1.015621043
6,2,7600.482572,0.952914126
6,3,4671.881005,0.457581575
6,4,7968.893139,0.840098578
7,1,9526.717446,1.067665538
7,2,7733.323577,0.754692083
7,3,7909.692825,0.798166699
7,4,5960.118882,0.633243251
8,1,9634.35783,1.169290603
8,2,7430.360893,0.877562892
8,3,4427.618518,0.460011396
8,4,8884.10972,0.950542152
9,1,9898.311778,1.086562504
9,2,6058.147496,0.703615154
9,3,9292.45691,0.995447373
9,4,9704.572414,1.038379166
10,1,8602.796699,1.028270249
10,2,8704.600123,1.145188353
10,3,6527.872777,0.729370118
10,4,9669.890023,0.977639524
11,1,9707.215532,1.022524862
11,2,6819.345947,0.762478885
11,3,8181.022564,0.92603477
11,4,11223.77506,1.193823642
12,1,8399.665888,0.910078605
12,2,7558.328876,0.881168916
12,3,6120.77606,0.659615505
12,4,4900.49056,0.515052535
13,1,9143.259796,1.006503806
13,2,10487.2285,1.098016589
13,3,9374.810346,0.996243779
13,4,9849.743815,1.085396289
14,1,8124.052855,1.031195976
14,2,11671.87481,1.220466653
14,3,4440.585695,0.532188304
14,4,7839.288133,0.784754854
15,1,6998.87529,0.729335595
15,2,11562.67878,1.260266756
15,3,5346.380595,0.548666442
15,4,7513.014923,0.831293188
16,1,10911.85793,1.175829979
16,2,5413.409871,0.668429002
16,3,8793.988106,0.853345377
16,4,13436.03526,1.352198323
17,1,8846.98718,1.015645118
17,2,9941.613924,1.145744233
17,3,9677.696035,1.15113924
17,4,5995.142499,0.700713739
