Subject,Session,t,Phi_,Phi_z
1,1,230.5,3718.38668382813,0.921285645830495
1,2,230.5,3538.43807136719,0.884301368163892
1,3,230.5,2198.40599505859,0.556664047600926
1,4,230.5,3352.35203126953,0.837508803093515
2,1,124.5,2899.51964007246,0.727530355922489
2,2,126,3437.26765621429,0.849801046090838
2,3,230.5,1779.35411238281,0.445691870534258
2,4,127,2879.23671347517,0.708579971925038
3,1,130,4310.34119204861,1.03710755094092
3,2,121.5,5109.26302733333,1.25850161540454
3,3,230.5,3791.14237955078,0.943954886788581
3,4,230.5,3761.27191037109,0.910907193222851
4,1,121,3877.93491608209,0.926764302437548
4,2,129,3144.17337416084,0.748471622744999
4,3,230.5,3845.4040921875,0.938695563105649
4,4,230.5,3023.25829886718,0.701124890721746
5,1,230.5,4846.99029957031,1.17225084483322
5,2,230.5,3231.5881371875,0.796336552774597
5,3,230.5,3831.24524949219,0.948729415750311
5,4,118,2716.59205469465,0.683109228936492
6,1,230.5,3714.04514105468,0.914827533301769
6,2,145,3027.77942310559,0.752675390809382
6,3,126,2178.85198764285,0.534207179441159
6,4,130.5,3975.01724572414,0.988401577360349
7,1,124.5,3052.36059916666,0.74286204874045
7,2,125.5,4933.60327604317,1.23400395482517
7,3,230.5,3794.71223722656,0.945965028088299
7,4,126,4395.17488560715,1.08136900983574
8,1,133.5,4886.30643398649,1.20974381859627
8,2,230.5,2592.97631246094,0.650354797345662
8,3,122.5,4042.79335176471,0.979550169501955
8,4,230.5,2766.99420294922,0.689412697745819
9,1,230.5,4475.16483800781,1.10109387920931
9,2,130,3149.09580399305,0.759949971776822
9,3,230.5,3524.53835205078,0.860668059812022
9,4,230.5,3819.83812466797,0.948347148549456
10,1,230.5,4230.09057748047,1.01912757790158
10,2,126,3786.49005210714,0.92158602465119
10,3,130.5,4284.07060510345,1.02233769007652
10,4,127,3032.38184528368,0.733856678804708
11,1,127,3011.04752914894,0.744330450435203
11,2,230.5,3070.88663513672,0.762108619601074
11,3,132.5,2222.20812775511,0.550025117893927
11,4,132.5,2788.73209438775,0.697330905215783
12,1,230.5,4258.88712488281,1.05831429819407
12,2,130,4538.61193340278,1.09704571922535
12,3,136,3922.66930877484,0.935157393452122
12,4,230.5,3279.01185949219,0.831471442076398
13,1,121.5,4542.02896837037,1.15420179748454
13,2,230.5,3305.56140302735,0.836142883177202
13,3,230.5,1620.00357371093,0.397248036770034
13,4,230.5,3416.79175570313,0.873485237958773
14,1,122.5,3376.52585117647,0.874532907428513
14,2,116.5,3034.97811182171,0.78663618576524
14,3,230.5,3820.9338765625,0.95326121293666
14,4,121,2292.16451992537,0.583190500132938
15,1,230.5,4984.26294207031,1.24290100938695
15,2,120,3329.97018093985,0.82570394244711
15,3,114.5,3574.61337755906,0.854870124270306
15,4,230.5,3338.69346710937,0.862193419527095
16,1,230.5,4498.03018769531,1.11454494024265
16,2,230.5,3941.52440798828,0.936657097315995
16,3,120,3307.90346823308,0.828046952738801
16,4,140.5,4885.97873849359,1.18956130603324
17,1,230.5,4201.1997841211,1.03858103911401
17,2,230.5,4184.09499335937,0.999602679269908
17,3,230.5,4102.83814226563,1.01509142197572
17,4,110,5014.94292848361,1.17041897169569
