Subject,Session,Phi_,Phi_z
1,1,4871.466606,0.741108782
1,2,6167.723542,0.931340704
1,3,5834.496548,0.909288005
1,4,5305.806301,0.832486386
2,1,7108.853791,1.070373798
2,2,5982.555326,0.940084525
2,3,5782.854932,0.884864065
2,4,6556.214749,0.987326779
3,1,5843.650513,0.844400451
3,2,7413.777258,1.098101549
3,3,4636.982487,0.713292178
3,4,4972.940761,0.745813943
4,1,5100.652836,0.763576384
4,2,3121.713064,0.45016119
4,3,2258.535584,0.358359496
4,4,5037.714444,0.71019793
5,1,7953.172879,1.258683793
5,2,6578.141474,1.034383933
5,3,4548.579655,0.661861898
5,4,9323.189251,1.384058766
6,1,4878.543489,0.742909036
6,2,3281.199002,0.497742686
6,3,1695.536857,0.249385886
6,4,6487.064885,0.947232165
7,1,7712.428351,1.09271594
7,2,6497.526116,0.901956229
7,3,5491.615024,0.756740136
7,4,9437.569281,1.403558165
8,1,8271.94429,1.226433745
8,2,6162.86071,0.960418026
8,3,7945.19922,1.173198833
8,4,7442.246562,1.083408436
9,1,6504.776465,0.976796637
9,2,5089.805478,0.805141821
9,3,4779.147352,0.683170941
9,4,6707.893211,0.975546716
10,1,6064.978707,0.909594199
10,2,5983.890312,0.843906975
10,3,5700.819417,0.878104111
10,4,6319.335158,0.998149749
11,1,10116.7891,1.506701646
11,2,5127.141083,0.826590452
11,3,5408.637463,0.824527165
11,4,6719.275867,0.97472458
12,1,8122.116661,1.221279902
12,2,3792.260472,0.532767282
12,3,5329.090532,0.765884644
12,4,7580.882366,1.201745713
13,1,7379.534121,1.03910513
13,2,3709.280807,0.547231651
13,3,4675.196025,0.725669078
13,4,5805.901764,0.900470831
14,1,9096.684239,1.34682709
14,2,4380.892123,0.595217546
14,3,4702.276835,0.732609139
14,4,5758.963141,0.833440482
15,1,6671.493462,1.036986463
15,2,3901.529525,0.598344619
15,3,5721.783797,0.864808042
15,4,9143.045383,1.311481328
16,1,5535.517493,0.841212632
16,2,4932.593677,0.726310466
16,3,6610.835399,1.06507932
16,4,6109.962637,0.889387967
17,1,5555.407991,0.814464852
17,2,7676.174068,1.132201372
17,3,5657.119222,0.839260661
17,4,7840.555081,1.111085272
