Subject,Session,t,Phi_,Phi_z
1,1,230.5,93647.8352857226,1.00978568785002
1,2,230.5,95644.6505844728,1.026555998748
1,3,230.5,72987.1173626173,0.802046548469516
1,4,230.5,101250.117241348,1.07392616038921
2,1,124.5,70940.7953501813,0.760063216182225
2,2,126,68740.5708381786,0.752339510858554
2,3,230.5,54486.3242319141,0.579906590428581
2,4,127,59732.3838302482,0.676579761265452
3,1,130,78822.0682997222,0.897451173284107
3,2,121.5,40098.3623207037,0.451398315216195
3,3,230.5,80576.4794803126,0.856154566561083
3,4,230.5,91397.3758883006,0.995271756086327
4,1,121,103525.866897388,1.12884348823254
4,2,129,64179.6795112937,0.669837101051483
4,3,230.5,28702.4659599024,0.317704306620901
4,4,230.5,94070.8883190429,1.00711813808355
5,1,230.5,102563.745372852,1.12539192597106
5,2,230.5,94032.3057076169,1.02687121381654
5,3,230.5,81604.0276617578,0.873863872365771
5,4,118,78028.6004358017,0.848319563646869
6,1,230.5,86229.3289341213,0.928820414391474
6,2,145,76834.2449517081,0.840096892731964
6,3,126,44152.0327778214,0.460052183460789
6,4,130.5,90334.3354682759,1.01177407510415
7,1,124.5,81573.0872508334,0.897524103399347
7,2,125.5,77655.3383746761,0.835208740318792
7,3,230.5,73389.6172758986,0.795179054467757
7,4,126,62068.6052028928,0.666868312713748
8,1,133.5,82443.4502073649,0.909602903046093
8,2,230.5,74612.1384035354,0.827684696400566
8,3,122.5,59465.3936519853,0.665574496182128
8,4,230.5,94366.5952424416,1.03687968906664
9,1,230.5,108452.457419727,1.15828338504348
9,2,130,62903.0633611111,0.679585978357925
9,3,230.5,105165.882224258,1.12009574885581
9,4,230.5,88515.2702652541,0.932001334337963
10,1,230.5,93606.2082724415,1.01529844222703
10,2,126,100676.00898475,1.10166477412966
10,3,130.5,68686.3566048621,0.752763268291353
10,4,127,104713.896141029,1.13433768985483
11,1,127,98105.88212578,1.0540660801153
11,2,230.5,73795.6885808983,0.808983425388086
11,3,132.5,88724.5000299661,0.982100029695458
11,4,132.5,82111.8466953399,0.900285151137789
12,1,230.5,101997.539249726,1.08625263156821
12,2,130,95999.2758440624,1.0347513237577
12,3,136,73081.4825156622,0.801945250128907
12,4,230.5,85838.0867480274,0.942394710510194
13,1,121.5,95804.0904656666,1.07904762357648
13,2,230.5,84123.8105658789,0.92205349213097
13,3,230.5,77735.3888049021,0.864671039889628
13,4,230.5,83751.8569044727,0.889345648159594
14,1,122.5,74769.4934975002,0.768794746947633
14,2,116.5,68424.9486039147,0.720412615954309
14,3,230.5,49431.024351875,0.543356339966923
14,4,121,82138.6663013436,0.883142557065232
15,1,230.5,92444.8904662889,1.01727875036688
15,2,120,90464.1362203008,1.01204377329581
15,3,114.5,74324.4597182678,0.803327291766158
15,4,230.5,81030.1841156443,0.870370884163445
16,1,230.5,104148.794290215,1.10832008912007
16,2,230.5,43175.975559668,0.481207937502069
16,3,120,73942.0014440604,0.779888105076782
16,4,140.5,129219.366951827,1.3875133392738
17,1,230.5,98219.7428676953,1.05517533867805
17,2,230.5,96551.5226384178,1.03754766529832
17,3,230.5,86479.4994068945,0.951479797136497
17,4,110,50570.3392301639,0.562251503000333
