Subject,Session,Phi_,Phi_z
1,1,2071.162017,0.684090193
1,2,2328.322775,0.809390218
1,3,3866.944616,1.212490223
1,4,3835.709507,1.238097042
2,1,5143.377906,1.657700043
2,2,2536.958704,0.724032914
2,3,1741.020966,0.653629179
2,4,2890.753593,1.007288735
3,1,1117.889187,0.266343843
3,2,1100.764962,0.27135109
3,3,1741.239915,0.650296554
3,4,3205.949104,1.063787814
4,1,1747.244413,0.54969532
4,2,1504.865197,0.528313314
4,3,1206.948004,0.484169331
4,4,2421.880747,0.772101834
5,1,2293.710711,0.737576255
5,2,1556.474553,0.504673681
5,3,4109.163666,1.437291558
5,4,5751.768939,1.8665885
6,1,4045.871017,1.368584358
6,2,1341.070419,0.383001824
6,3,597.0355857,0.18869897
6,4,5880.704064,1.734829668
7,1,2493.95862,0.709649923
7,2,963.2153073,0.337938684
7,3,2092.984884,0.689447352
7,4,5301.926937,1.697058846
8,1,2473.196714,0.852725772
8,2,1673.396578,0.667842175
8,3,4386.648155,1.545839682
8,4,3028.221819,1.123854571
9,1,3803.735356,1.225455236
9,2,2399.769942,0.795331937
9,3,1193.651108,0.356540408
9,4,4510.089568,1.4880507
10,1,2617.125976,0.873594327
10,2,1428.896012,0.502993011
10,3,1662.749843,0.561165112
10,4,1558.762928,0.613113553
11,1,4157.891611,1.318547684
11,2,1183.883216,0.404187678
11,3,1878.668155,0.504048026
11,4,1718.955247,0.481491415
12,1,1767.021584,0.591941008
12,2,472.6417596,0.220423867
12,3,2329.565565,0.737664124
12,4,1793.315005,0.60149243
13,1,2021.488672,0.634067968
13,2,2941.790283,0.984458469
13,3,1272.024608,0.420228035
13,4,4494.78983,1.518266696
14,1,4462.099538,1.446684952
14,2,1294.454326,0.390721599
14,3,1940.547835,0.710625749
14,4,1828.076723,0.584090805
15,1,2224.828839,0.802340037
15,2,2266.859001,0.817473952
15,3,2735.037497,0.947661902
15,4,3236.696461,1.204878795
16,1,3133.762651,1.143481735
16,2,2204.341977,0.692441719
16,3,5265.104585,1.745379083
16,4,5274.84319,1.644421272
17,1,5477.698784,1.884119771
17,2,3385.504778,1.211359321
17,3,2538.262018,0.864303174
17,4,4412.616192,1.567489128
