Subject,Session,t,Phi_,Phi_z
1,1,230.5,31854.0078468164,1.14389873546108
1,2,230.5,28783.7604710352,1.03485629559199
1,3,230.5,26229.8480703516,0.922684706359053
1,4,230.5,24411.4805092187,0.934660899807858
2,1,124.5,32866.9647194203,1.21683565805938
2,2,126,15415.6407940714,0.578419704811649
2,3,230.5,24664.4804041211,0.897255037819986
2,4,127,19119.5983325177,0.697450333692903
3,1,130,42266.8759241666,1.55692117664945
3,2,121.5,17040.5902281111,0.645249173055459
3,3,230.5,26872.3775818945,0.985638060078013
3,4,230.5,33500.4336716406,1.25259326533195
4,1,121,21696.8258555597,0.801823127874168
4,2,129,24374.5227688461,0.88779337741304
4,3,230.5,18476.1049863281,0.690952443915542
4,4,230.5,20948.4759027539,0.768888366934613
5,1,230.5,23707.2122138672,0.879869548965043
5,2,230.5,22972.2731892187,0.865415877847064
5,3,230.5,28104.2542256641,1.03342900286946
5,4,118,24847.1764171374,0.872720297740162
6,1,230.5,30848.8173889648,1.09816681626492
6,2,145,26578.1239100311,0.964223833605232
6,3,126,11723.5106901072,0.406065624771401
6,4,130.5,27213.6864525862,1.00195451971767
7,1,124.5,19636.8418642029,0.692759502992633
7,2,125.5,29372.7760736331,1.04429124576302
7,3,230.5,15798.4197252149,0.578242745342146
7,4,126,14404.9049545714,0.542737636272596
8,1,133.5,17529.9131729054,0.645126394190477
8,2,230.5,23912.5473426367,0.877019806461092
8,3,122.5,16179.2519528677,0.579641461229735
8,4,230.5,22598.4664728906,0.836365888010779
9,1,230.5,30489.2090158789,1.15793151228389
9,2,130,22075.305872743,0.767862290765378
9,3,230.5,24983.9841865625,0.938203519253305
9,4,230.5,20894.6054933008,0.802231387387334
10,1,230.5,31240.4213650976,1.13070649363541
10,2,126,22494.9253955,0.86312367748584
10,3,130.5,26963.4012335862,0.995518373243998
10,4,127,30417.2450800709,1.11718188866897
11,1,127,29038.9902657092,1.12555806380136
11,2,230.5,26108.9439123438,0.96725692596244
11,3,132.5,29917.4963310544,1.030326806797
11,4,132.5,16520.6965596598,0.61401925817883
12,1,230.5,17095.7341728711,0.616494824421644
12,2,130,23919.2771552083,0.899693088494949
12,3,136,22293.2637244702,0.792168077465718
12,4,230.5,23759.7813886328,0.870316413548624
13,1,121.5,39884.7777735926,1.53759702963117
13,2,230.5,37318.9652088086,1.37986535020811
13,3,230.5,27803.9494735937,0.997022669662962
13,4,230.5,35878.8666968555,1.26599986136831
14,1,122.5,19454.393535772,0.733539417014717
14,2,116.5,26656.7401085272,1.00003460697485
14,3,230.5,17963.6071195312,0.701478625432717
14,4,121,16816.1328052985,0.579545068244891
15,1,230.5,27437.9466741602,0.943800090805138
15,2,120,28582.7905384962,1.04880862069822
15,3,114.5,18443.5568608268,0.710278731386312
15,4,230.5,18651.124016875,0.660898380707089
16,1,230.5,22644.6568039649,0.842762072872069
16,2,230.5,12627.7694316406,0.448521873408364
16,3,120,21498.3721591354,0.820137405193252
16,4,140.5,32315.3058729167,1.18161361480136
17,1,230.5,24562.0130600977,0.876209535077446
17,2,230.5,33327.9468521875,1.17461821758782
17,3,230.5,22905.5405748633,0.873832787332741
17,4,110,26343.5856945492,0.968312671084787
