Subject,Session,Phi_,Phi_z
1,1,1602.383836,1.555319389
1,2,774.7501843,0.820413084
1,3,455.9281673,0.5443042
1,4,1165.648345,1.134051469
2,1,884.9412932,1.139885764
2,2,210.4724762,0.296669988
2,3,402.4446136,0.378892899
2,4,869.7088101,0.944759218
3,1,637.2017579,0.645180446
3,2,346.2303502,0.431633027
3,3,687.9440812,0.628153406
3,4,1333.346341,1.126128486
4,1,489.9496582,0.798978556
4,2,922.5708201,1.160955925
4,3,538.7389735,0.615999698
4,4,855.7820096,0.820455047
5,1,644.5648602,0.699235581
5,2,713.6952909,0.750584973
5,3,706.9780203,0.726367975
5,4,226.7427785,0.343658396
6,1,1440.710745,1.369974072
6,2,770.8527716,1.051402535
6,3,250.4905994,0.359974264
6,4,1239.200923,1.069530672
7,1,767.1685031,0.784622252
7,2,546.2459745,0.517711079
7,3,898.7953711,0.951364608
7,4,1326.370962,1.122155037
8,1,1484.555833,1.277496743
8,2,862.7443475,0.881200757
8,3,1473.963928,1.149168772
8,4,1055.035077,1.012100759
9,1,1193.767083,1.079194095
9,2,893.0391201,0.784507035
9,3,510.4326712,0.607318052
9,4,1223.021619,1.16640135
10,1,760.4497418,0.886254512
10,2,702.3160846,0.737086768
10,3,861.761422,0.836394705
10,4,704.7100425,0.748663064
11,1,659.3541195,0.847252618
11,2,381.8140004,0.390666024
11,3,154.0168872,0.283708335
11,4,231.835582,0.374795233
12,1,807.1929935,0.829304326
12,2,452.3188287,0.569828428
12,3,777.8298013,0.766909092
12,4,750.4956997,0.741936343
13,1,811.8851148,0.734695113
13,2,702.9892043,0.90179727
13,3,301.2538804,0.390667616
13,4,892.9475723,1.136119687
14,1,1277.379375,1.337413644
14,2,1541.34421,1.359768728
14,3,378.2199864,0.491841058
14,4,859.0504148,0.75217222
15,1,719.8181517,1.011286453
15,2,1304.88114,1.27425621
15,3,533.4009019,0.723779863
15,4,1079.736981,1.234019051
16,1,761.0117327,0.900691554
16,2,380.1934415,0.414387069
16,3,1238.494358,1.081592296
16,4,1339.94273,1.264028333
17,1,762.8686262,0.89476939
17,2,787.2636303,0.799804764
17,3,309.9289386,0.392626613
17,4,756.5203703,0.773712375
