Subject,Session,t,Phi_,Phi_z
1,1,230.5,12036.4728838086,1.05661932644611
1,2,230.5,11994.4699828906,1.09556353668386
1,3,230.5,10717.8931825195,0.982278905676939
1,4,230.5,8919.70143091795,0.765753817761797
2,1,124.5,16072.9587123913,1.11464187352109
2,2,126,19073.6782141428,1.43718924240517
2,3,230.5,17658.276957832,1.21366420665191
2,4,127,9355.239049539,0.735866664547492
3,1,130,8714.43597326389,0.909989378448772
3,2,121.5,8572.73936700002,0.794688241313807
3,3,230.5,6073.5624829492,0.598116194572586
3,4,230.5,6901.71567832032,0.542537811717869
4,1,121,11569.074612612,0.850371539696503
4,2,129,8502.92052461537,0.637678776872626
4,3,230.5,13446.8483265234,0.951101011934578
4,4,230.5,13623.8812164453,1.10771115146347
5,1,230.5,10589.9463759375,0.872205436489784
5,2,230.5,9380.43412923829,0.732471408685814
5,3,230.5,13935.5317330859,1.12640630695899
5,4,118,17607.3372986259,1.53914770025562
6,1,230.5,12117.9142708008,1.11647295512693
6,2,145,11991.0211009628,1.35796543626071
6,3,126,8904.50820878572,0.912916141158869
6,4,130.5,11050.0355200345,1.16947701889406
7,1,124.5,11827.6928230073,1.50665668898673
7,2,125.5,13109.0752019424,1.11248187760226
7,3,230.5,11998.7550007226,1.09209464645775
7,4,126,9856.60583003571,0.829474616371034
8,1,133.5,11088.96227875,0.883097744628243
8,2,230.5,10675.3860296875,0.994592050612949
8,3,122.5,13863.6563291544,1.32603846076813
8,4,230.5,8263.75565355468,0.744857326773286
9,1,230.5,13252.0251365625,1.03025039176251
9,2,130,10426.020055625,0.959879139301056
9,3,230.5,12428.0760255664,0.87911370475547
9,4,230.5,10880.6299852148,0.867462785483998
10,1,230.5,11787.414554707,0.911774015497757
10,2,126,11063.43424225,1.15196598352759
10,3,130.5,11759.7465963103,1.10579963646522
10,4,127,10135.6993892553,1.16340927790894
11,1,127,10116.8605355319,1.14196582719329
11,2,230.5,13132.4924321289,1.30976769425377
11,3,132.5,15446.3842008843,1.39258088714604
11,4,132.5,15671.3662740476,1.30028799551298
12,1,230.5,6727.89472132811,0.552485613757431
12,2,130,13256.6072128125,1.20799767747363
12,3,136,13836.1932851656,1.43613455150664
12,4,230.5,8361.01649208982,1.13488508692411
13,1,121.5,18228.8265878519,1.38729936889661
13,2,230.5,9776.65256382812,0.744385190020804
13,3,230.5,13221.5654374609,1.0145585005592
13,4,230.5,10789.2506625977,0.866631377107425
14,1,122.5,8158.14796514708,0.680868383269474
14,2,116.5,10503.9482046899,0.861917763298244
14,3,230.5,9794.90242667971,0.678290748837246
14,4,121,13167.0288983209,1.14006110650909
15,1,230.5,14195.7438142383,1.31647807529382
15,2,120,11437.8254723684,1.08910158409369
15,3,114.5,11812.5361250394,1.07931068252513
15,4,230.5,11359.4969661328,0.957546534437534
16,1,230.5,8768.61516021487,0.743441100480223
16,2,230.5,12706.7151665625,1.20033435636453
16,3,120,11365.9858015037,0.94928648229188
16,4,140.5,11598.5380048718,0.945092176885358
17,1,230.5,13600.509932207,0.925382280504734
17,2,230.5,8955.95253455076,0.915240984151175
17,3,230.5,7814.75951886717,0.789802399097332
17,4,110,7485.56560536884,0.588947390291779
