Subject,Session,Phi_,Phi_z
1,1,2004.687774,0.970193605
1,2,2580.614959,0.95581198
1,3,1752.22086,0.829919014
1,4,1825.027708,0.907662111
2,1,2250.860159,1.05330266
2,2,3719.03075,1.330393722
2,3,2032.426125,0.978499264
2,4,2450.051936,1.03484643
3,1,1742.110757,0.873336615
3,2,1371.060223,0.789577764
3,3,1795.335955,0.883627974
3,4,1415.344278,0.834999402
4,1,2174.489953,1.021068693
4,2,2694.878025,1.190183856
4,3,2086.569797,1.000548562
4,4,1961.442662,0.934125942
5,1,2122.765679,0.896718514
5,2,2458.598298,1.097680817
5,3,2218.251051,1.11932861
5,4,2846.002618,1.070210267
6,1,1922.826618,0.885989485
6,2,2925.614639,1.142024417
6,3,1726.91825,0.75310468
6,4,1581.21003,0.85565632
7,1,2681.84828,1.039602859
7,2,4744.486936,1.647478269
7,3,2565.874813,1.159544688
7,4,2609.154737,1.05470826
8,1,2035.369038,1.041959738
8,2,2324.668174,1.043587955
8,3,1234.215007,0.619531383
8,4,2150.098575,0.958558633
9,1,2154.177644,0.867699794
9,2,1846.507895,1.017197964
9,3,3497.678447,1.306856621
9,4,1424.876924,0.784959321
10,1,1920.644897,0.921060112
10,2,3094.634079,1.313193704
10,3,1815.876271,0.993855311
10,4,1407.017593,0.639334389
11,1,3387.506534,1.466033156
11,2,2386.022769,1.122886347
11,3,4320.332191,1.52910149
11,4,4301.905889,1.386098272
12,1,2363.116188,0.988670675
12,2,1266.725703,0.754486698
12,3,1727.973935,0.940958429
12,4,2236.028816,0.898545037
13,1,3743.224501,1.346025714
13,2,2360.792776,1.014061707
13,3,2345.61457,0.958393251
13,4,2427.772678,1.208518039
14,1,1680.347982,0.851321899
14,2,2319.068982,1.019863791
14,3,3343.533782,1.239295144
14,4,2554.049749,0.973185667
15,1,2560.847652,1.123666008
15,2,1686.232079,0.80118974
15,3,2971.153915,1.116513926
15,4,1235.764603,0.749622405
16,1,2117.7697,0.972446493
16,2,2724.998692,1.069168633
16,3,900.8863231,0.633595979
16,4,1605.576814,0.989476888
17,1,2553.277508,0.9994627
17,2,2343.870242,0.998933012
17,3,3057.881053,1.195683504
17,4,1001.845055,0.708730072
