Subject,Session,t,Phi_,Phi_z
1,1,230.5,8604.89214634767,0.642284992737888
1,2,230.5,11092.1749787891,0.840865566022909
1,3,230.5,10775.2250150391,0.790132000270431
1,4,230.5,11023.2294927539,0.836358906622147
2,1,124.5,12459.6142672826,0.937648202362786
2,2,126,10409.7891320714,0.777319185179755
2,3,230.5,9043.1075611328,0.668576450592894
2,4,127,12472.7614000709,0.953568032066254
3,1,130,12368.4707027431,0.943053756088931
3,2,121.5,19196.7255234444,1.41624872154042
3,3,230.5,8229.24244876953,0.622152114927581
3,4,230.5,11890.3383906055,0.88910777085807
4,1,121,5849.53137608209,0.483515283844741
4,2,129,10105.6099123427,0.740034345084593
4,3,230.5,4333.07569050782,0.29975138174144
4,4,230.5,8377.40189492188,0.683889607747642
5,1,230.5,13186.6856075391,1.02236573843307
5,2,230.5,13322.2660579102,1.03941588700367
5,3,230.5,11243.0237139258,0.822502766288312
5,4,118,17107.7084057252,1.27504973973616
6,1,230.5,12927.791806543,0.988389708679706
6,2,145,7401.91178388201,0.588032626292516
6,3,126,3752.15835621429,0.29840995879135
6,4,130.5,14158.8440661035,1.0955452192017
7,1,124.5,11868.4854723189,0.869236522726722
7,2,125.5,14603.002775,1.0740154129072
7,3,230.5,13547.2781741211,1.03633981881296
7,4,126,15156.9407568214,1.1762967528589
8,1,133.5,11400.5501165203,0.867059439804351
8,2,230.5,14565.0505891797,1.09373878471625
8,3,122.5,15545.5995668383,1.16677549566593
8,4,230.5,16321.7859783984,1.23089719596104
9,1,230.5,10512.4373977734,0.757709407664227
9,2,130,8368.35956878474,0.661568289642059
9,3,230.5,11191.0051256055,0.853588132068774
9,4,230.5,14397.250568418,1.08745066232663
10,1,230.5,12193.3695340234,0.968013189013495
10,2,126,10748.3820616428,0.796837069204394
10,3,130.5,14472.6579774483,1.11156073108296
10,4,127,9418.7595265603,0.671435497950337
11,1,127,19003.4655248227,1.40673927959538
11,2,230.5,11384.0108186523,0.851928336611227
11,3,132.5,7914.60276942175,0.573638060259219
11,4,132.5,13797.9593618027,1.05280984654884
12,1,230.5,17656.2941435156,1.32484179482365
12,2,130,3522.91053329861,0.268269256804139
12,3,136,7613.6163431457,0.559658574959637
12,4,230.5,13255.9003027539,0.983379065584731
13,1,121.5,16050.3464231481,1.16974551518201
13,2,230.5,8132.9423256836,0.626266725898626
13,3,230.5,10546.0926729883,0.769560786377552
13,4,230.5,12490.263485957,0.923520872121902
14,1,122.5,20894.5811585662,1.59767937250711
14,2,116.5,9171.4494156589,0.707365763265277
14,3,230.5,9380.16155367187,0.650183153520634
14,4,121,13542.2668684702,1.01753943366545
15,1,230.5,18646.8188669141,1.40027199751718
15,2,120,7425.97887548872,0.555248234015815
15,3,114.5,11739.0731244488,0.823781838111612
15,4,230.5,19272.7435844531,1.40818341093288
16,1,230.5,13225.6729070703,0.958776881333526
16,2,230.5,7849.89905291015,0.602175354788167
16,3,120,11960.0668152256,0.888855026712019
16,4,140.5,13055.0990160256,0.999763286996002
17,1,230.5,8713.71135558592,0.662668917685215
17,2,230.5,12614.4786748438,0.973966330675401
17,3,230.5,10544.1692191016,0.778981288563668
17,4,110,11481.0879121311,0.894631588398096
