Subject,Session,Phi_,Phi_z
1,1,1592.986931,0.779653939
1,2,2665.336749,1.357544378
1,3,1824.552779,0.896352231
1,4,2214.775446,1.084182359
2,1,3239.383526,1.43112063
2,2,3007.454454,1.182232292
2,3,1764.252275,0.859833722
2,4,2234.525048,1.131563269
3,1,1925.534018,1.113797884
3,2,894.1344121,0.471726604
3,3,1127.593717,0.54073212
3,4,1415.737637,0.777412253
4,1,1950.410935,0.820167364
4,2,1262.84134,0.799338306
4,3,1986.602686,0.984654462
4,4,1890.952406,0.876640908
5,1,2014.563996,0.911195272
5,2,2442.498222,1.143942761
5,3,2565.576121,1.070727095
5,4,2256.536565,0.973891153
6,1,1994.577591,1.105492656
6,2,4246.377426,1.641026678
6,3,1848.5246,0.90350984
6,4,1106.171023,0.550488969
7,1,2622.994455,1.157711802
7,2,3499.278076,1.420759952
7,3,1081.955874,0.684857804
7,4,1812.335811,0.957114086
8,1,1361.799907,0.915560424
8,2,694.4678762,0.426041213
8,3,1688.777738,0.83524568
8,4,1802.350407,1.071525971
9,1,2092.398675,0.992724533
9,2,1678.399416,0.833703066
9,3,3627.920139,1.49420106
9,4,1565.213337,0.886592509
10,1,2734.421106,1.172352966
10,2,1400.498908,0.747465766
10,3,1025.772334,0.655682058
10,4,1642.458921,1.011650669
11,1,2284.44683,0.936267639
11,2,1727.2005,0.789537978
11,3,2478.308327,0.963394253
11,4,4179.066505,1.765358139
12,1,1918.967848,0.914227217
12,2,855.0083739,0.53888256
12,3,2118.960823,0.830796243
12,4,1595.674255,0.821324713
13,1,3182.877365,1.401135422
13,2,3411.007528,1.379676306
13,3,2407.051136,1.042607913
13,4,2695.125235,1.572910638
14,1,2327.205193,1.074941256
14,2,2466.42367,1.05744074
14,3,2449.505224,1.006514896
14,4,1828.359509,0.986907317
15,1,2076.087041,1.11640586
15,2,2108.221175,0.911080178
15,3,2714.710075,1.168170727
15,4,887.8200083,0.725852167
16,1,1197.638217,0.621910983
16,2,1288.799798,0.605272503
16,3,1024.994527,0.548009897
16,4,2531.806234,1.122751475
17,1,2237.771346,0.961054725
17,2,2493.816053,1.187745202
17,3,1918.484795,0.778255642
17,4,1705.400065,1.02212613
