Subject,Session,t,Phi_,Phi_z
1,1,230.5,19301.9618458789,1.19679798207985
1,2,230.5,14067.1798103516,0.870146764185207
1,3,230.5,14123.2577617578,0.876476648665717
1,4,230.5,15988.9924191211,1.04327345851101
2,1,124.5,16538.940028116,1.03812635803183
2,2,126,14254.4074071786,0.874895613195784
2,3,230.5,16727.2555370703,0.994209978353832
2,4,127,15898.0537083333,0.958293021125332
3,1,130,14437.8869394792,0.897189677923633
3,2,121.5,11922.6194541481,0.751237433367136
3,3,230.5,8989.83074333985,0.565750570659856
3,4,230.5,18367.8039370117,1.12202504835142
4,1,121,14897.5385153358,0.875582085105232
4,2,129,9779.93675045454,0.682925938272888
4,3,230.5,10760.6308405274,0.673399124750493
4,4,230.5,12618.0754425586,0.807101926920245
5,1,230.5,14117.8379426172,0.927913346802024
5,2,230.5,11841.5811202149,0.766519103928514
5,3,230.5,17441.5823224609,1.11925861018052
5,4,118,12419.7425676718,0.734702451051292
6,1,230.5,16255.9690368359,1.05421553487025
6,2,145,20684.9798902484,1.23838923266325
6,3,126,11965.0213802143,0.767262208819106
6,4,130.5,15690.4458275862,1.01007789880938
7,1,124.5,17309.6034964855,1.03046026192457
7,2,125.5,20444.4056361511,1.33494689256156
7,3,230.5,13180.5047852148,0.801675817279738
7,4,126,12904.3074938571,0.756194635469857
8,1,133.5,15439.4969781419,0.964368247117913
8,2,230.5,7130.96998605468,0.466419683618165
8,3,122.5,10526.2136081618,0.673393476764713
8,4,230.5,13204.2936188086,0.865527820032447
9,1,230.5,15916.0428066797,0.988179272329153
9,2,130,15183.8272113889,0.986371906134575
9,3,230.5,22201.1636776563,1.37138310212818
9,4,230.5,12138.8410829688,0.716522765910295
10,1,230.5,18829.066533418,1.16888816460553
10,2,126,15705.8232519643,0.985030090689364
10,3,130.5,14123.5393402069,0.866319718577943
10,4,127,18184.7545899645,1.151308579578
11,1,127,18519.6610323759,1.23893575960309
11,2,230.5,12309.4296152734,0.764113495969802
11,3,132.5,13387.603695,0.856023570611516
11,4,132.5,22481.1163112585,1.41187818895723
12,1,230.5,16311.5278494336,1.01705579910737
12,2,130,16811.901676493,1.09396959880156
12,3,136,19906.0368960596,1.22713630047142
12,4,230.5,16813.7837626758,1.0936833178352
13,1,121.5,21985.0632042222,1.32613128726463
13,2,230.5,17922.0239476758,1.14056797708513
13,3,230.5,18965.1160492188,1.16728472801496
13,4,230.5,22784.6206564844,1.41155737485717
14,1,122.5,15913.6126810662,1.00304569738426
14,2,116.5,13160.5528556201,0.791579682463511
14,3,230.5,12124.0679066602,0.765644353887816
14,4,121,10770.8932380224,0.735964944862248
15,1,230.5,13472.5622895508,0.840572584180917
15,2,120,18685.7709245113,1.17639386606252
15,3,114.5,13980.0274329528,0.835342524530099
15,4,230.5,9070.67196785153,0.568665763896548
16,1,230.5,8875.36513001952,0.570317779585104
16,2,230.5,12273.4848725391,0.752323403116842
16,3,120,11557.8900389098,0.81109821741427
16,4,140.5,12993.0548379167,0.846758626934909
17,1,230.5,13538.0254849804,0.862220162084644
17,2,230.5,14098.6371202149,0.907295466668178
17,3,230.5,14194.3258371094,0.90151777050109
17,4,110,13751.5545586065,0.854620469112543
