Subject,Session,t,Phi_,Phi_z
1,1,256,785.806391191408,1.50783183480462
1,2,256,402.99550359375,0.812186325592724
1,3,256,267.249388515625,0.560198887452392
1,4,256,613.59599453125,1.15702937204011
2,1,138,555.502576739131,1.22534063170422
2,2,140,196.931206035714,0.431431163293312
2,3,256,192.533469335937,0.352194542092046
2,4,141,474.115026347518,0.940344725332432
3,1,144,362.640853645833,0.722347080480005
3,2,135,214.097034481482,0.428642403104312
3,3,256,308.790192304687,0.565965609924609
3,4,256,568.130896464844,1.02397751932357
4,1,134,369.816295708955,0.844824587771172
4,2,143,589.495600734266,1.28061423041803
4,3,256,336.274226621094,0.689035905947249
4,4,256,432.901415410156,0.819002731376491
5,1,256,339.726646191407,0.679925265262531
5,2,256,380.965853164063,0.760716066348258
5,3,256,370.326034335937,0.741455915249166
5,4,131,149.188803320611,0.330752318483047
6,1,256,696.569540292969,1.35151031005029
6,2,161,514.03575515528,1.14380043327516
6,3,140,178.616149285714,0.400857813378568
6,4,145,538.931238517241,0.96883794050176
7,1,138,380.720455,0.746858256771956
7,2,139,242.330764568346,0.449558071140634
7,3,256,467.082667011719,0.938924816241328
7,4,140,601.144788357143,1.0630042108195
8,1,148,635.95453570946,1.16462257504566
8,2,256,435.225038535156,0.858316616092152
8,3,136,589.840687279411,0.990568681314058
8,4,256,531.471237207031,0.999740398711256
9,1,256,548.138933769531,0.999880343153959
9,2,144,375.600576145833,0.671160445985508
9,3,256,331.398808027344,0.679941229475946
9,4,256,626.717071796875,1.19294260181666
10,1,256,418.658400351562,0.883642983947472
10,2,140,380.758086964285,0.727454062486767
10,3,145,417.372547965517,0.799420940129923
10,4,141,358.032168900709,0.711441871056477
11,1,141,407.683656524822,0.903561962563339
11,2,256,209.62383359375,0.406429128032648
11,3,147,136.116194795918,0.323529479136475
11,4,147,217.546824251701,0.495058689684705
12,1,256,442.630281835938,0.891681632528074
12,2,144,306.23005875,0.622039123036419
12,3,151,430.33063897351,0.846255003377182
12,4,256,358.208277675782,0.694934202610936
13,1,135,389.694671185185,0.723582937623043
13,2,256,430.18436671875,0.939325761379804
13,3,256,193.342674023437,0.414706329626461
13,4,256,538.99188578125,1.17489132562563
14,1,136,694.449684852941,1.36875401419473
14,2,129,796.968833875972,1.47586894853782
14,3,256,255.702930234375,0.548743630279274
14,4,134,361.934753208955,0.653644164015141
15,1,256,522.937238828125,1.18002593990158
15,2,133,620.235492368421,1.19993169297222
15,3,127,332.362406968504,0.756621221699942
15,4,256,586.169424941406,1.24417330149266
16,1,256,447.791838710937,0.937568504253858
16,2,256,215.355599648438,0.420450516829621
16,3,133,582.666775488722,1.03699717325734
16,4,156,602.123671185897,1.16630864124462
17,1,256,416.8866815625,0.868041139943486
17,2,256,378.329368945312,0.73988539153453
17,3,256,227.8194090625,0.466762028305877
17,4,122,377.813400655738,0.742129106240846
