Subject,Session,t,Phi_,Phi_z
1,1,256,2476.49905201172,0.974313193127524
1,2,256,3393.57940009766,0.954421145547799
1,3,256,2156.32105015625,0.78454448861547
1,4,256,2259.59557847657,0.890239320944322
2,1,138,2575.49501072464,0.985113518120528
2,2,140,4890.69078221428,1.38604271735578
2,3,256,2406.44180605469,0.837792309538323
2,4,141,3364.1085762766,1.08451000802403
3,1,144,2141.71168690972,0.927510817937251
3,2,135,1585.57240877778,0.754569766416741
3,3,256,2349.01119142578,0.907831412499847
3,4,256,1771.1524169336,0.814598813859491
4,1,134,2493.83066865671,0.968799632301691
4,2,143,3512.00008052448,1.18785316165679
4,3,256,2473.77689123047,0.893701762560687
4,4,256,2515.56987125,0.919580622109238
5,1,256,2703.92927994141,0.89303891427678
5,2,256,2998.88812271484,1.07780997813121
5,3,256,2698.38577404297,1.13730550010416
5,4,131,3812.85905423664,1.13419074739935
6,1,256,2420.82047404297,0.871329746549433
6,2,161,3818.93751049689,1.17238991344645
6,3,140,2097.46891085714,0.675727597651305
6,4,145,1873.2602854138,0.798685790975703
7,1,138,3473.7515332971,1.03355205527269
7,2,139,6392.74330723023,1.80010651949424
7,3,256,3207.88728773437,1.13795875948259
7,4,140,3406.06845521429,1.09657545123962
8,1,148,2752.92528341216,1.0427163067758
8,2,256,2936.25363019531,1.03444331987227
8,3,136,1672.08778224265,0.588951684352742
8,4,256,2568.905343125,0.936606642212437
9,1,256,2603.58823367188,0.810623067448896
9,2,144,2234.39613017361,0.952175991691468
9,3,256,4229.23308332031,1.23684988878063
9,4,256,1732.526985,0.731360407289029
10,1,256,2388.91351617187,0.88735029603167
10,2,140,3724.30015392857,1.27330092963065
10,3,145,2177.76966175862,1.01078765025246
10,4,141,1877.12831028369,0.653583832322191
11,1,141,4323.59611641844,1.44418120026347
11,2,256,3062.04383412109,1.10027940189234
11,3,147,5714.65685959185,1.54170261123415
11,4,147,5441.56982755101,1.42005858909608
12,1,256,2893.52032972656,0.947701365997726
12,2,144,1443.64009090278,0.731893686654245
12,3,151,2114.9993581457,0.846618372058078
12,4,256,2833.4400808789,0.891660158151081
13,1,135,4865.45088674074,1.33268158442056
13,2,256,2984.69277519531,0.993123551090363
13,3,256,3038.56353363281,0.981207001409875
13,4,256,2988.85555099609,1.09454323598665
14,1,136,1949.55613775735,0.787846629800597
14,2,129,2938.63141534884,1.01005759460102
14,3,256,4222.08851712891,1.21480841718423
14,4,134,3062.9729863806,0.975696601170287
15,1,256,3242.85166443359,1.08769746023578
15,2,133,2466.97058154136,0.846977397418174
15,3,127,3891.23454685039,1.12920750900033
15,4,256,1434.50603494141,0.656906744541883
16,1,256,2809.21813347657,0.998822766090877
16,2,256,3707.72854605469,1.09901167214913
16,3,133,1106.75774597744,0.598269569924143
16,4,156,2202.49153964744,1.04277897877499
17,1,256,3363.62718339844,1.00672144534873
17,2,256,2915.62774875,0.968925358765012
17,3,256,3785.25752970703,1.10627200305757
17,4,122,1209.25797959016,0.681737516411556
