Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,3990.28723823148,0.749812800985757
1,1,1,4964.35836234524,0.939015006147726
1,1,2,6785.76819076136,1.27331185541528
1,1,3,6894.4781089328,1.2937267344684
1,2,0,6079.18216362083,1.14348228516076
1,2,1,5022.06082732292,0.939179276915617
1,2,2,6581.12772819505,1.23543931717585
1,2,3,4906.69429316042,0.916356692386161
1,2,4,7935.94123319048,1.49066848362727
3,4,0,3419.04237593333,0.644080157755323
3,4,1,5749.74424510119,1.08280928727757
3,4,2,4234.42303209568,0.796103766648834
3,4,3,4750.85790051234,0.891726391317877
3,4,4,4136.13251401389,0.774336868611473
3,5,0,4486.14236139216,0.838300109483636
3,5,1,3815.88642337121,0.713143994783181
3,5,2,4894.10000826124,0.921085442331831
3,5,3,3830.49204366594,0.718100166577433
3,5,4,4646.84288703728,0.873836120673268
4,6,0,5783.46602848718,1.08605291029703
4,6,1,5487.34822187745,1.035435091438
4,6,2,5339.07899894271,0.999909021598218
4,6,3,5381.44296212153,1.01267194270187
4,7,0,6615.88399366071,1.24703700258298
4,7,1,4099.96514867857,0.770166943336743
4,7,2,6542.53316247222,1.22782568097545
4,7,3,6796.05590873577,1.27244409826383
4,7,4,4927.58045006428,0.925114951058039
5,8,0,7401.49023161364,1.39075117748167
5,8,1,8233.93193665278,1.54046274104796
5,8,2,6382.41695161207,1.19404047410709
5,8,3,6548.67059915741,1.22890552768244
5,8,4,7586.91386876449,1.42550457318389
6,9,0,7129.05926728,1.33837979083611
6,9,1,9059.11839734027,1.68879805257819
6,9,2,7200.49566965113,1.35470466146372
6,9,4,4414.78927101667,0.838280202460782
7,10,0,6775.07262555556,1.27207071302923
7,10,1,5382.36481298148,1.01105798527097
7,10,2,5287.02578134085,0.991099475201828
7,10,3,5365.21000089496,1.00416396066251
7,10,4,4975.11084990488,0.933159189742178
7,11,0,4941.44394416865,0.927891043517895
7,11,1,1963.45498069792,0.374258504292658
7,11,2,5194.18073734549,0.974336747826171
7,11,4,5989.53959027652,1.12601148748355
8,12,0,4683.71741968333,0.88212963529167
8,12,1,5035.86681848295,0.947730587489148
8,12,2,5214.92493885444,0.982444433828147
8,12,3,3438.97202601852,0.643057379611537
8,12,4,5180.3405680375,0.975376612485145
8,13,0,4304.87561438889,0.804469767478829
8,13,1,2709.86171513492,0.50976799237271
8,13,2,3838.5075614637,0.720638738240708
8,13,4,2755.99424653125,0.513985449443447
8,14,0,6293.29882875595,1.18285413337289
8,14,1,4313.36231368333,0.811064904513355
8,14,2,4544.7365843253,0.85155612958117
8,14,4,4044.30152427381,0.760822979721488
9,15,0,4583.07653951449,0.861089587438421
9,15,1,6387.57151721667,1.2015458300907
9,15,2,6277.49799635913,1.1793215578155
9,15,3,3266.37722266667,0.595529797079288
9,15,4,5623.74666328667,1.05797987863503
9,16,0,4347.38064263542,0.811757312133079
9,16,1,7451.94546680702,1.40285452285723
9,16,2,6839.04454684581,1.28194433275366
9,16,3,8150.54639958333,1.52518404607693
9,16,4,5934.79616009657,1.11123593357576
9,17,0,7800.35137314286,1.46221811752444
9,17,1,6422.16137083631,1.21007116150908
9,17,2,5658.80884935918,1.06239308722176
9,17,3,4982.86914061765,0.93452136055072
9,17,4,6468.65759202244,1.20945062851679
9,18,0,4574.09863352083,0.852159243755374
9,18,1,5953.37357770833,1.12463788433101
9,18,2,6310.45031757483,1.18505489945979
9,18,3,5648.89337191667,1.06836472398401
9,18,4,6228.07556830769,1.17045190216791
10,19,0,5257.69974116908,0.985143808700191
10,19,1,5369.56690597849,1.00705056745002
10,19,2,6977.31345056085,1.30967647819272
10,19,3,2584.28840333333,0.498636686937459
10,19,4,5925.24832020098,1.1112251734235
10,20,0,5794.09761709317,1.08710398876393
10,20,1,620.32187425,0.111416018564476
10,20,2,7526.66673816941,1.41395433073955
10,20,3,10359.012926,1.9382111877867
10,20,4,5005.96521206667,0.941390332985661
10,21,0,7774.49911402778,1.45776175640497
10,21,1,8672.78530625926,1.62537184021664
10,21,2,7747.79600749233,1.45450412780873
10,21,3,2853.871452125,0.515444866520269
10,21,4,5697.6101924375,1.06550978389949
10,22,0,8476.77255335374,1.59108514303167
10,22,1,13180.1455208889,2.4757661066743
10,22,2,7276.61525969565,1.36491168045183
10,22,3,5488.688455125,1.02436951542557
10,22,4,5723.21145681667,1.08025013043037
10,23,0,5020.51429398182,0.945256120709893
10,23,1,5951.545051,1.11455721496087
10,23,2,7302.49728457174,1.3712475385501
10,23,4,6966.87247961585,1.3061425641935
11,24,0,5540.06813176923,1.04131658070581
11,24,1,5637.21665880208,1.06288508618514
11,24,2,6001.77142929533,1.12709608855863
11,24,3,4432.34372139689,0.830467328733982
11,24,4,4031.51393632639,0.750465516258868
11,25,0,4085.32768633056,0.768817967211776
11,25,1,6909.13145654762,1.2975864838491
11,25,2,5247.21380953372,0.985423371113019
11,25,3,2067.21913500694,0.395416137638767
11,26,0,3360.50680589583,0.630180434901349
11,26,1,4130.62454083333,0.778857026727687
11,26,2,4853.31859075687,0.911530510064827
11,26,3,4330.20480301557,0.812116169678961
11,26,4,2010.96957652778,0.384969655248468
11,27,0,3104.4420265,0.581243816187991
11,27,1,5259.30044425926,0.988151116962824
11,27,2,4854.56641527424,0.909489041913613
11,27,3,36.9306395833333,0.00714513482029585
11,27,4,1682.67507440625,0.317117822524919
11,28,0,3943.27104750833,0.738228972017678
11,28,1,4852.75674668982,0.914824943263003
11,28,2,4436.75432210617,0.833976038918746
11,28,3,4531.22906466204,0.850282356148981
11,28,4,4138.40819466497,0.7805310007753
12,29,0,4624.60176578373,0.865753279327252
12,29,1,4132.88168071667,0.771213101886676
12,29,2,5539.55259125449,1.0376956078791
12,29,3,6511.13013717833,1.22460567776079
12,29,4,4971.30208107917,0.932139281291208
12,30,0,3482.61685909069,0.657198871914095
12,30,1,3789.9946446821,0.71427436862635
12,30,2,4398.4297856436,0.825222479484414
12,30,3,4425.8781398244,0.83059429266467
12,30,4,3981.52482353571,0.754617755104377
12,31,0,5810.26803518333,1.09692207760659
12,31,1,4735.04143386979,0.89351999796786
12,31,2,6023.25060921184,1.12929749912115
12,31,3,5968.90925851821,1.11861911657448
12,31,4,5603.25515436111,1.04365774034205
12,32,0,4562.58158053059,0.854832927687174
12,32,1,4346.18303842708,0.812689860539494
12,32,2,4463.05709970028,0.838211791866653
12,32,4,4552.1636748114,0.856375997164088
13,33,0,4255.49332362255,0.795258152886147
13,33,1,5206.07088781905,0.976014161823991
13,33,2,8129.11462833379,1.52447580384003
13,33,3,6313.6096553718,1.1825255059377
13,33,4,7690.39608013178,1.44121022259308
13,34,0,6981.98582951111,1.31204233234443
13,34,1,7798.16331472222,1.46005378740472
13,34,2,6803.01042725189,1.27629549655053
13,34,3,7168.56396344048,1.34789175736934
13,34,4,6209.11819868229,1.16397710965786
13,35,0,6699.45228329861,1.25281246104539
13,35,1,5146.3716931,0.970213148621954
13,35,2,7178.15624384756,1.34621470376966
13,35,3,6411.75284633696,1.20130814378926
13,35,4,4753.03472683333,0.892666344575015
13,36,0,8316.07451954167,1.55266906665542
13,36,1,7158.25562081746,1.34355621100595
13,36,2,7318.52700735853,1.37127817165674
13,36,3,8872.37516491667,1.66777912288809
13,36,4,7331.74974548333,1.37643361379317
14,37,0,3869.01235672126,0.725805071449353
14,37,1,5393.54536593518,1.00821406980276
14,37,2,4644.23371364983,0.871258939444528
