Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,11982.9580871852,0.857197073345889
1,1,1,21669.1831560476,1.58653648927074
1,1,2,17365.8872207146,1.20979462291597
1,1,3,17082.4320435565,1.25873866562326
1,2,0,16687.5358344042,1.2336947665261
1,2,1,16794.9628759375,1.15946653067638
1,2,2,13294.6011299897,0.946911598126862
1,2,3,10873.2842489979,0.777129360892013
1,2,4,20105.439180558,1.42112471632878
3,4,0,12283.8292481333,0.931334777118362
3,4,1,12400.5642787024,0.818854135396868
3,4,2,11274.6945914136,0.813143609643981
3,4,3,12393.3489917099,0.879432922195006
3,4,4,12014.1250747083,0.831637851797519
3,5,0,8796.27259454902,0.583186363596372
3,5,1,11547.673144822,0.813398852182057
3,5,2,11362.4528518427,0.816645636644638
3,5,3,9920.56435861477,0.703810058047714
3,5,4,12079.2212848772,0.850296554237734
4,6,0,13099.7962329103,0.98526962167762
4,6,1,12080.9998528137,0.857271822273607
4,6,2,13156.645248151,0.932004704602877
4,6,3,12728.7439410625,0.871483473009822
4,7,0,15019.6360566012,1.06616653704799
4,7,1,8659.01336826191,0.585137517398483
4,7,2,13607.605088699,0.962883887573968
4,7,3,14939.6094136829,1.04731656237051
4,7,4,12673.069753631,0.923263302528791
5,8,0,15215.1594971136,1.12121803974611
5,8,1,14885.6276010972,1.06152995655006
5,8,2,16437.8094421667,1.17053090192906
5,8,3,17107.7844411551,1.21481498915155
5,8,4,15523.0119866449,1.13775795149168
6,9,0,16506.1830068533,1.16380603447458
6,9,1,21460.7654144931,1.48595183941024
6,9,2,17911.1328744845,1.28558327002145
6,9,4,13485.0498055333,0.970664618386805
7,10,0,8785.57211191666,0.704726568636734
7,10,1,13014.9141442593,0.943229290182566
7,10,2,13921.2731857083,0.989456205504124
7,10,3,12422.12185675,0.885361067536262
7,10,4,12416.639948851,0.88985155542091
7,11,0,6368.07063685119,0.464495225166337
7,11,1,3014.88846295833,0.226497181343964
7,11,2,9755.98400789236,0.696116904725142
7,11,4,7277.48699148864,0.479513460452612
8,12,0,15240.9309579548,1.0589018699104
8,12,1,14760.3163777822,1.03255646193072
8,12,2,15890.6509238544,1.11207241650999
8,12,3,15121.4592408333,1.09260371101916
8,12,4,18170.1222735458,1.28067964812196
8,13,0,10418.7788603258,0.734196701435589
8,13,1,7178.54987031944,0.484904949847491
8,13,2,12727.3080458639,0.897298935865814
8,13,4,6394.95424371614,0.446557539972363
8,14,0,16793.1778163988,1.22755933173991
8,14,1,14228.38081352,0.978209599055916
8,14,2,13668.3101159719,0.947692513963939
8,14,4,10965.9705626571,0.760907846370863
9,15,0,11384.4966992283,0.774611993480565
9,15,1,13950.1139051896,1.00445375167101
9,15,2,15185.5666894944,1.06931654812951
9,15,3,22729.757621,1.66166569410141
9,15,4,12174.17132531,0.874272319037457
9,16,0,13746.1097834167,0.969801538410961
9,16,1,20406.0671026118,1.41545578228669
9,16,2,17363.7663364132,1.21966975354639
9,16,3,20466.2194470417,1.56165337738885
9,16,4,18719.3611694143,1.29908152996457
9,17,0,13784.7030060238,1.04987183547965
9,17,1,14652.1020498095,1.08254260796517
9,17,2,14824.2896341136,1.03739459666867
9,17,3,17190.4127667132,1.17183002861221
9,17,4,15280.6899869006,1.0436170262036
9,18,0,11368.386316125,0.76326642168001
9,18,1,12668.569430375,0.872671209050616
9,18,2,13452.6487101998,0.951470929421274
9,18,3,5514.481553125,0.488154993848563
9,18,4,9938.0757123782,0.734104898335896
10,19,0,11136.7505281184,0.77738683511539
10,19,1,11764.8118375753,0.847289984869059
10,19,2,16300.5155538236,1.15360045488854
10,19,3,16978.6638025,1.33640793518589
10,19,4,11529.8580297843,0.799894104070364
10,20,0,13991.3005897138,0.981142013632706
10,20,1,2690.22479758333,0.291292703065035
10,20,2,16122.2041429918,1.12791308007188
10,20,3,6156.79236658333,0.599022680686166
10,20,4,11353.5212012067,0.806726621744924
10,21,0,18360.8951604889,1.30197735050757
10,21,1,20709.6669905648,1.43342449025603
10,21,2,18928.3378816259,1.33306812245748
10,21,3,19425.5413468333,1.17787526141
10,21,4,15476.9203674137,1.09648438879673
10,22,0,18478.0933680799,1.32559269442926
10,22,1,27245.5167344444,1.91005582875531
10,22,2,16333.5840533742,1.16965480515423
10,22,3,11374.8117353333,0.83252793060089
10,22,4,10749.11481395,0.782462954256268
10,23,0,13048.0594139742,0.919807864263553
10,23,1,13045.3422355208,0.908480966850974
10,23,2,14943.8940075309,1.06716477939996
10,23,4,13394.4355629614,0.956967886550675
11,24,0,16830.2880599487,1.24137327215259
11,24,1,20074.3305106979,1.41343393496504
11,24,2,13197.151160638,0.940041448962487
11,24,3,11662.4347429915,0.816117186553922
11,24,4,13071.2446069792,0.929364357715955
11,25,0,18873.3967666361,1.33634231270514
11,25,1,17873.4514878571,1.32493439206167
11,25,2,12869.2921240802,0.924054040105665
11,25,3,5298.74263872222,0.397254400529812
11,26,0,12573.0432212674,0.90634224146272
11,26,1,14348.0980959773,0.947324716220569
11,26,2,13583.7034784682,0.977582458468079
11,26,3,10155.956809054,0.699945954826476
11,26,4,10137.4811260278,0.715601129937974
11,27,0,8141.16871096111,0.572017128267386
11,27,1,10775.9245649414,0.755798628356839
11,27,2,10684.2890833045,0.738445487180634
11,27,3,2016.01510908333,0.261208734284251
11,27,4,10859.1041083958,0.805168506391949
11,28,0,13461.0481843556,0.97706360226062
11,28,1,13122.5062525278,1.03938477215607
11,28,2,11555.3115654615,0.823401422764424
11,28,3,10621.900603956,0.747394628031436
11,28,4,13714.5602247551,0.957432504211149
12,29,0,15049.6859077996,1.06365797907423
12,29,1,13038.67966347,0.929535839875171
12,29,2,16330.449060656,1.13124429407686
12,29,3,17142.3608403233,1.2179804703199
12,29,4,15473.2052029,1.06713556726786
12,30,0,12513.7715665809,0.910512336429686
12,30,1,12793.6636005185,0.917325696774042
12,30,2,12661.3252455785,0.880997885584448
12,30,3,11671.7906629821,0.835106518304337
12,30,4,13067.0785380119,0.941385141492843
12,31,0,13082.361404475,0.909555041717291
12,31,1,15586.8609764271,1.09370466824097
12,31,2,14648.258403536,1.01070158144899
12,31,3,18820.3797113971,1.32139085113557
12,31,4,17950.6099096389,1.20325516556224
12,32,0,14614.2040366034,1.01168309806886
12,32,1,15163.9171593333,1.03693420769864
12,32,2,12791.889754639,0.921352728748223
12,32,4,12468.9405348889,0.891073257952666
13,33,0,20304.6817255539,1.42049079329193
13,33,1,14786.0054938429,1.08918172742681
13,33,2,23069.4977661087,1.62297815199584
13,33,3,22813.4112708282,1.60832899441609
13,33,4,20362.4230382035,1.43297938879123
13,34,0,18263.1260301722,1.36449401270015
13,34,1,17202.4045134722,1.102869863945
13,34,2,15042.4535115417,1.07437610988126
13,34,3,13108.3622623333,0.893244988010084
13,34,4,12937.2885537083,0.866460655561111
13,35,0,17656.1589296181,1.2328883885174
13,35,1,11385.9979605167,0.892365972830031
13,35,2,21032.3594983679,1.47592662775799
13,35,3,20879.4843199167,1.4847461846976
13,35,4,16241.9903641101,1.14865862452619
13,36,0,29116.8498024167,2.05372607475232
13,36,1,19014.0560400556,1.31866762593843
13,36,2,21778.7778920724,1.53073729260156
13,36,3,22239.273975375,1.37303355832279
13,36,4,23039.1148136633,1.60396599290038
14,37,0,13080.273034092,0.915552785673384
14,37,1,15035.9572332731,1.0737606988834
14,37,2,12566.5943225939,0.869351651576121
14,37,3,10104.9785907292,0.696510951711918
14,37,4,10896.7174798286,0.799263164061046
14,38,0,11567.2323212885,0.813439890163075
14,38,1,11643.4583005909,0.849708466332099
14,38,2,12778.6057289203,0.916911169812582
14,38,3,7453.18919316667,0.489157320857969
14,38,4,15079.2153454202,1.02808066427257
