Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,157384.235896611,1.08834354954166
1,1,1,158471.603778274,1.06051749600932
1,1,2,147457.803730001,1.01742096333918
1,1,3,110883.092278987,0.764344096227944
1,2,0,272665.506791067,1.81605548432583
1,2,1,200539.326444948,1.30882030739447
1,2,2,154632.510808447,1.04641125286864
1,2,3,169190.572702852,1.14933657913115
1,2,4,177635.041636951,1.21348158039322
3,4,0,124728.694896133,0.825274420664256
3,4,1,86346.2320879524,0.566293352113886
3,4,2,74189.8963363704,0.482391555489155
3,4,3,103095.059464886,0.691528933219574
3,4,4,63860.0449073889,0.443468086790626
3,5,0,102300.286399431,0.674007556061989
3,5,1,98497.0130134167,0.678715695803391
3,5,2,114610.401989743,0.773501404002897
3,5,3,119138.256128321,0.816719118140466
3,5,4,99100.918384421,0.717301522041949
4,6,0,167624.67374157,1.11859903952405
4,6,1,170143.852065172,1.16497951608139
4,6,2,159674.865906439,1.07766786908475
4,6,3,140962.788464431,0.965950539467202
4,7,0,157654.549289339,1.08687902296058
4,7,1,155018.764595792,1.07389328498467
4,7,2,143204.299655241,0.968198412881389
4,7,3,152459.016488435,1.04571348155184
4,7,4,160010.857857864,1.08706698093685
5,8,0,149136.003669625,1.03002727947488
5,8,1,119836.37839459,0.821677512568474
5,8,2,153043.733917694,1.05173342190292
5,8,3,189517.260245794,1.28963459195653
5,8,4,174933.690911109,1.18401570112937
6,9,0,159274.083861567,1.09971518403248
6,9,1,174901.74580225,1.19719322340147
6,9,2,168573.843049893,1.15446991665232
6,9,4,172636.42468205,1.12820634893325
7,10,0,143185.902841583,0.964717965346089
7,10,1,126137.118657505,0.892498024604444
7,10,2,101980.169990066,0.695540388972646
7,10,3,137613.266273463,0.927268005999101
7,10,4,137196.077482066,0.932013884082052
7,11,0,114362.992812391,0.777789538784287
7,11,1,175048.568487177,1.20789864980276
7,11,2,119059.384731217,0.808115274910611
7,11,4,124250.719551227,0.838697439110417
8,12,0,151826.834017945,1.05202381164266
8,12,1,164533.770085519,1.1070716865968
8,12,2,137189.42032046,0.93188748838374
8,12,3,196455.749465454,1.33998307664385
8,12,4,154999.863367233,1.07252313265203
8,13,0,145353.082581066,0.991579017112943
8,13,1,131216.86962755,0.896176183134199
8,13,2,157257.716280915,1.05242149917013
8,13,4,140142.560680357,0.956710829391097
8,14,0,140236.840311524,0.913520365691381
8,14,1,114177.454642543,0.786634923828031
8,14,2,151451.50306193,1.02503103002191
8,14,4,152472.510592576,1.00487677821671
9,15,0,158115.334389859,1.05755139028674
9,15,1,177455.137176052,1.20948475208317
9,15,2,186203.880864986,1.26062901308176
9,15,3,226610.885364167,1.46883397751857
9,15,4,228418.191596063,1.53717755203799
9,16,0,204502.795590542,1.41767151959249
9,16,1,169284.734032485,1.1526185319877
9,16,2,166333.405779994,1.11843313934258
9,16,3,172401.4875245,1.04141398459051
9,16,4,164834.328982045,1.13178047821212
9,17,0,198372.387456833,1.40340593623993
9,17,1,166560.118353699,1.15554372216587
9,17,2,152193.807671393,1.04126006785488
9,17,3,150012.498025201,1.04042508644886
9,17,4,158482.783737647,1.0528989179967
9,18,0,161285.672977042,1.0765476796588
9,18,1,160588.231288193,1.08157817891413
9,18,2,174186.710268001,1.18902116397605
9,18,3,161727.771091333,1.06644907527179
9,18,4,194813.64108825,1.32001490799028
10,19,0,167897.020346078,1.14874183076354
10,19,1,122705.98455446,0.839013807919584
10,19,2,146280.965386761,1.00832116987647
10,19,3,48869.769432,0.221710747643039
10,19,4,166841.639443858,1.12736026796172
10,20,0,123560.303630099,0.84245385464902
10,20,1,152733.238734833,1.15751502706127
10,20,2,177010.830079242,1.21502107319604
10,20,3,116931.400173667,0.790090297425134
10,20,4,98973.3545320667,0.6464457918123
10,21,0,159079.335603152,1.11128281239276
10,21,1,187174.739729188,1.28591843226936
10,21,2,177677.674027892,1.21401078696408
10,21,3,207216.111908,1.42557796994979
10,21,4,168220.86829375,1.15152247777855
10,22,0,177602.723940092,1.21027232195779
10,22,1,307510.806888778,2.07032476768528
10,22,2,158175.369315149,1.08483803285401
10,22,3,127422.180180042,0.873604324611174
10,22,4,232892.3799291,1.57489522105314
10,23,0,130100.929349,0.896351875614384
10,23,1,149611.747024991,1.0192154264503
10,23,2,167150.754464995,1.15141288107035
10,23,4,194853.859919941,1.33980906047761
11,24,0,207725.941621968,1.40367863487379
11,24,1,88398.1103849062,0.619338574181862
11,24,2,175863.881964294,1.19748024847223
11,24,3,160670.111921871,1.11583052621625
11,24,4,235906.93123941,1.61967913300977
11,25,0,205255.471364842,1.40128272513577
11,25,1,221869.283152,1.51925861805044
11,25,2,184527.893385616,1.25565177679927
11,25,3,165736.268504313,1.16188544495097
11,26,0,182600.598227128,1.25251820986331
11,26,1,193835.746562409,1.30884285931644
11,26,2,189729.491332857,1.28344583334892
11,26,3,136349.827507097,0.926784659269999
11,26,4,186771.348248278,1.2994907774488
11,27,0,191681.609215961,1.34173984212113
11,27,1,168095.369981985,1.14521476382943
11,27,2,175663.966500791,1.1876680257473
11,27,3,179536.273780417,1.26360214750391
11,27,4,150990.022089073,1.01322609889139
11,28,0,160264.034685014,1.10941987451671
11,28,1,164453.110674472,1.16749526847869
11,28,2,160341.391310018,1.09591141297457
11,28,3,174300.667920162,1.13090293300477
11,28,4,154445.441508286,1.06053166576142
12,29,0,94317.0332974603,0.647855910316824
12,29,1,114433.443466213,0.770816813946026
12,29,2,144501.910853395,0.990371660663598
12,29,3,134644.729611018,0.91669981192739
12,29,4,134373.093643267,0.91491430406271
12,30,0,79873.2490259927,0.564295139948832
12,30,1,94691.7855676265,0.655305192253347
12,30,2,127324.225217152,0.863936261479048
12,30,3,181829.569221711,1.22718921719211
12,30,4,101151.114504488,0.690940908937439
12,31,0,95046.6049769833,0.685821492976322
12,31,1,102447.533461198,0.693833044779575
12,31,2,153017.769977241,1.04829486649658
12,31,3,157018.641712709,1.07444236588485
12,31,4,157587.985866625,1.05195979440273
12,32,0,131761.751807168,0.897514517800253
12,32,1,91613.7403324514,0.59964133143573
12,32,2,139355.327766438,0.956721875189676
12,32,4,108810.662562996,0.755856055710121
13,33,0,148595.692479436,0.991111316529702
13,33,1,218436.302176569,1.46934484361977
13,33,2,188996.354760408,1.29248891468884
13,33,3,159659.559573837,1.09102572953073
13,33,4,156409.883054841,1.05104843653978
13,34,0,211451.317541194,1.46122349986966
13,34,1,145026.298475361,0.879965952814258
13,34,2,206696.052496898,1.42253481536906
13,34,3,93262.0963422381,0.668361244852141
13,34,4,143999.586367932,1.02728875035685
13,35,0,166295.619640715,1.13877956281154
13,35,1,163890.755598833,1.07140026695304
13,35,2,195639.458979145,1.32669038880103
13,35,3,208647.299285235,1.40999263856325
13,35,4,168787.748653256,1.15201764311222
13,36,0,114918.82944425,0.938972869770806
13,36,1,225137.088040627,1.5390049006952
13,36,2,179832.608063258,1.22977889004379
13,36,3,265861.289609375,1.91894577670251
13,36,4,185219.39750888,1.27487850464221
14,37,0,135083.417098029,0.892075665892474
14,37,1,125306.14671778,0.860958033357342
14,37,2,143194.940073278,0.981739143496551
14,37,3,114334.051174792,0.792910741678432
14,37,4,149682.437476311,1.0261002104036
14,38,0,153954.413564387,1.01528219728692
14,38,1,158515.430418093,1.08787930875317
14,38,2,133767.872281367,0.936026039197673
14,38,3,187484.9282905,1.268554375294
14,38,4,144166.065185225,0.987283724949347
14,39,0,141527.393790315,0.956397314216824
14,39,1,142790.93000768,0.985689489935663
14,39,2,113765.236234356,0.779673942770351
14,39,3,156343.998554877,1.05715539519407
14,39,4,114151.699311397,0.780971143261772
14,40,0,123488.24546007,0.84572627559001
14,40,1,126540.580739979,0.865739044969234
14,40,2,133513.336202421,0.89926560410158
14,40,3,114154.510194813,0.759675997540091
14,40,4,123718.45281843,0.848282818432876
15,41,0,178735.727649799,1.22866211387829
15,41,1,127703.253927365,0.877834746064301
15,41,2,153176.840318258,1.04618419984402
15,41,3,142426.948796632,0.973535742085971
15,41,4,146537.055309694,1.00116257057342
15,42,0,122321.802632098,0.831350890169771
15,42,1,110161.415921305,0.764726873100997
15,42,2,106423.644934041,0.722947272760084
15,42,4,96672.8122323654,0.657772682497074
