Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,22767.3716814722,1.14436002062563
1,1,1,9182.64498102381,0.430737848989232
1,1,2,17669.4979744621,0.899793587141013
1,1,3,14645.0166905511,0.760430678965693
1,2,0,25692.5939537,1.35273664739663
1,2,1,13666.9459725208,0.749367297719077
1,2,2,19675.6599591298,1.01206789552751
1,2,3,16197.0095234646,0.850951819157138
1,2,4,20349.6733020625,1.03359458135856
3,4,0,8452.84940276667,0.390875541039098
3,4,1,9227.75317400595,0.471336595989743
3,4,2,14668.8942968117,0.74032026055192
3,4,3,10676.2146798303,0.56687123463491
3,4,4,23295.5534603889,1.25024986517622
3,5,0,20334.5081073775,1.04650709308315
3,5,1,19649.8226384621,1.00735104413908
3,5,2,16790.37393428,0.852298481019827
3,5,3,14794.0252450409,0.765176886630808
3,5,4,18850.5347726075,0.97678280569948
4,6,0,23911.523557641,1.24418927073073
4,6,1,18039.2034766863,0.905734148595826
4,6,2,18455.6463588685,0.939368309471927
4,6,3,20078.9355759132,1.04278700330944
4,7,0,26455.9431620238,1.34448645698967
4,7,1,16006.2402994345,0.816555749463323
4,7,2,16433.0637761065,0.858479510201601
4,7,3,18211.5722271728,0.925263247818089
4,7,4,17011.6902958786,0.861923072230803
5,8,0,15219.3273667992,0.757080136273357
5,8,1,14915.8349622014,0.762901977464566
5,8,2,18118.6637235647,0.934498731332422
5,8,3,17792.7030864352,0.879247637188988
5,8,4,14357.2599364529,0.742201019582086
6,9,0,23420.96192891,1.18732408723556
6,9,1,17568.6572855,0.893012404169004
6,9,2,21868.7667793376,1.12519037668896
6,9,4,12030.5198429333,0.558707381877097
7,10,0,21778.077732,1.11190033726239
7,10,1,15505.674817162,0.784224387342247
7,10,2,21160.1686566851,1.08992897461775
7,10,3,17790.0212796658,0.905167069230748
7,10,4,17005.2447591675,0.896887944557111
7,11,0,24190.5014185952,1.23391565780457
7,11,1,19834.3644785521,1.00853413402954
7,11,2,23619.4691618299,1.23232731796288
7,11,4,18675.5650504318,0.946676958926664
8,12,0,20350.7506667357,1.05536363707271
8,12,1,18512.3223398106,0.985362478924142
8,12,2,21303.8325057156,1.06532354390508
8,12,3,22866.6916858056,1.16840583739105
8,12,4,21444.1926366542,1.07654560643817
8,13,0,17138.4352206212,0.850186140378112
8,13,1,19287.4437068313,0.999885179509997
8,13,2,19056.2469829084,0.97046663984095
8,13,4,14755.4194865365,0.755948825765851
8,14,0,25806.1933514048,1.31775127112223
8,14,1,16925.3183430067,0.853679051447321
8,14,2,21183.8896579438,1.09910492629045
8,14,4,12302.6137298976,0.611321169636344
9,15,0,9011.52218635145,0.440527094270662
9,15,1,14578.2812456167,0.722906938419439
9,15,2,15592.8709169511,0.791540355429907
9,15,3,6135.0302535,0.392993570909879
9,15,4,13150.55370589,0.673923880989178
9,16,0,24796.793098993,1.27156231455438
9,16,1,18517.62526275,0.962195377655615
9,16,2,19246.6831048313,0.980467412746026
9,16,3,27366.1919350417,1.45387916103823
9,16,4,17090.2432765444,0.878779209862115
9,17,0,16908.2882226667,0.773790470419199
9,17,1,17105.2048928155,0.883527488253183
9,17,2,14826.2995787306,0.763336651294042
9,17,3,14860.8096145956,0.782626142358367
9,17,4,15466.5748969551,0.807485772285201
9,18,0,26187.7550757222,1.30473646250546
9,18,1,14194.123711099,0.757950127774093
9,18,2,16205.2816188333,0.832987514549101
9,18,3,20911.3467827917,1.05636680805618
9,18,4,19179.4487249936,1.00915811301691
10,19,0,16085.3605734275,0.861859328871723
10,19,1,20470.0181259301,1.05749230754616
10,19,2,19717.1812042496,1.00466689960609
10,19,3,15651.30573725,0.908627319069826
10,19,4,16706.2769967663,0.851198829004708
10,20,0,15682.7443047412,0.806008445635684
10,20,1,364.876815416667,0.0282198688122202
10,20,2,19829.8765727429,1.02618856557908
10,20,3,34864.978847,1.58410954904177
10,20,4,15210.2071013133,0.784886652822021
10,21,0,20115.9583880574,1.03255520629606
10,21,1,24002.75503,1.22516359102056
10,21,2,22257.2431445265,1.14492465059931
10,21,3,8081.16950033333,0.396064236180563
10,21,4,22583.6502126339,1.15536017219072
10,22,0,23107.5935884031,1.17304293383577
10,22,1,21328.6807111389,1.03469370476094
10,22,2,25773.0267711682,1.30913162181916
10,22,3,18957.5697240833,1.12634808618653
10,22,4,25930.32015865,1.32799371689926
10,23,0,18725.1731141273,0.96262177222308
10,23,1,16833.5348438274,0.848108657493757
10,23,2,22568.3329778372,1.16398933754009
10,23,4,16739.3602130041,0.872906434165559
11,24,0,17086.9699870256,0.908775846830645
11,24,1,11688.6791565729,0.558381332215554
11,24,2,14006.0728008073,0.72434951581648
11,24,3,11983.6849231554,0.607155403203871
11,24,4,13307.6228514514,0.663162357130351
11,25,0,15948.9033688861,0.845783762196916
11,25,1,17794.8370644643,0.980422178596872
11,25,2,13326.0983576163,0.684257616816015
11,25,3,9578.51162764583,0.466453472075277
11,26,0,15067.9368442951,0.743971822288101
11,26,1,18151.0519659848,0.902648153195793
11,26,2,15247.8573268058,0.794575129321555
11,26,3,10725.1447330852,0.529759454584362
11,26,4,9043.79067525,0.610704907548059
11,27,0,15913.9158284944,0.807914874183181
11,27,1,14917.3405340617,0.759543686181572
11,27,2,11193.0101160871,0.590639890393886
11,27,3,7015.28235291667,0.265992153782909
11,27,4,14063.8085710625,0.688079731788717
11,28,0,17825.6476882194,0.894850089509673
11,28,1,20629.745612838,1.00278541278546
11,28,2,14115.8056381414,0.725075307500723
11,28,3,12583.8278491875,0.620893123458926
11,28,4,11926.5882119439,0.621581419475639
12,29,0,20959.7829992738,1.06838269942072
12,29,1,20021.52812982,1.02980764314946
