Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,17772.6803661667,1.11439445131587
1,1,1,16858.2667365357,1.13520468971515
1,1,2,14943.8431392083,0.913147173985957
1,1,3,17080.6900917849,1.08169319687639
1,2,0,27520.7495690167,1.73006431403468
1,2,1,25666.5715861354,1.59093986451241
1,2,2,20480.6454304946,1.26357959275577
1,2,3,16088.1846920854,0.991523600359175
1,2,4,25542.6571310119,1.58535305585342
3,4,0,23663.3249781667,1.47682540576289
3,4,1,11804.2677970357,0.767921051094339
3,4,2,18413.0721540833,1.14600276218547
3,4,3,12992.9148970494,0.801487528406392
3,4,4,11039.4540932917,0.610574343206418
3,5,0,10073.4651718529,0.639767002854166
3,5,1,15625.6179854583,0.983355909059645
3,5,2,15001.8894502556,0.92419178014991
3,5,3,13066.8296522346,0.810263053440777
3,5,4,14628.5121719956,0.886983156504223
4,6,0,22130.180251609,1.37064212398315
4,6,1,14928.057426902,0.968437825021633
4,6,2,15205.438890457,0.958941719332933
4,6,3,17014.0012426111,1.04581608937687
4,7,0,11241.2406405119,0.698774504869547
4,7,1,8477.41678597024,0.575280313744951
4,7,2,15202.1530654838,0.95614031083295
4,7,3,11613.6376326402,0.723174839309922
4,7,4,16741.5891043238,1.04688919713589
5,8,0,15481.0091750303,0.987849656303065
5,8,1,16869.1886521806,1.02818959340156
5,8,2,16536.704177329,1.02966963933312
5,8,3,14207.7591445995,0.918730258858936
5,8,4,15765.0277050399,0.978101351270132
6,9,0,16103.0288022867,1.00398016104439
6,9,1,19687.8757925764,1.25449894215853
6,9,2,15067.5268647076,0.965099836517803
6,9,4,26163.3893603667,1.63020567636503
7,10,0,13611.17302075,0.802505359729058
7,10,1,18427.5376158657,1.12486422035705
7,10,2,14936.594021263,0.916428795226501
7,10,3,16333.5380037891,1.02044038156972
7,10,4,17675.8080316069,1.09836536486417
7,11,0,14356.4619894306,0.907072909274473
7,11,1,15764.2983905729,0.926541333926235
7,11,2,12886.1981803142,0.787517194429604
7,11,4,12373.0446379432,0.741203409863704
8,12,0,18543.5783284214,1.16707442509297
8,12,1,16951.9693961193,1.04492688891831
8,12,2,15313.2546185733,0.975739296177664
8,12,3,34466.7471240092,2.20235662014409
8,12,4,14452.2121330458,0.890575891525908
8,13,0,16998.3620574849,1.06273861811669
8,13,1,12983.8858036746,0.819921914299301
8,13,2,17895.6150798564,1.10091245255405
8,13,4,11375.3409822031,0.73225134456408
8,14,0,14260.6707237857,0.906760292301636
8,14,1,13686.2649620733,0.886225524142668
8,14,2,12393.390456501,0.766620864467394
8,14,4,13190.5327991381,0.818998792516946
9,15,0,14982.8343987355,0.918922251698502
9,15,1,16363.2998434896,1.05176399033029
9,15,2,18527.2461815513,1.14948708681228
9,15,3,989.807199916667,0.0916718986147892
9,15,4,14500.6661854233,0.896597604544712
9,16,0,13012.9484016458,0.834705127250414
9,16,1,13880.0190669342,0.887444853925304
9,16,2,16622.3287036901,1.04394844961822
9,16,3,6034.27096679167,0.371005415274917
9,16,4,16370.413578757,1.01588172820554
9,17,0,10624.2925460595,0.6799921298458
9,17,1,18788.8099467708,1.167400098671
9,17,2,15321.5706219694,0.964980391268707
9,17,3,18534.0521038137,1.15922779919604
9,17,4,19654.9698757147,1.19972322706428
9,18,0,15085.8483457292,0.939867360191216
9,18,1,19195.4766210156,1.1745611146516
9,18,2,16041.3468159337,1.01848215504616
9,18,3,24470.5321091667,1.53650249879443
9,18,4,16751.7641646218,1.04464652667636
10,19,0,13055.8267168164,0.809634231606747
10,19,1,12792.6331840188,0.781153147375914
10,19,2,14816.0261138638,0.932648818069543
10,19,3,13957.6733718333,0.993836530973624
10,19,4,14350.6051014085,0.942601498922985
10,20,0,14619.8277945543,0.917580460870836
10,20,1,14440.0107924167,1.01534808712333
10,20,2,13143.3923863284,0.829240673281583
10,20,3,14827.3010205,1.10553431025914
10,20,4,11656.97235471,0.756431955147107
10,21,0,18260.4684735648,1.14880419163506
10,21,1,21443.2810349568,1.37419946541096
10,21,2,18007.2077187437,1.12794042915657
10,21,3,24593.8315365417,1.58815040687152
10,21,4,18404.7621262589,1.13373740205312
10,22,0,22404.0335694813,1.37847994958071
10,22,1,23751.7957898889,1.44302674496242
10,22,2,15771.5678553359,1.00185910777274
10,22,3,22590.6131630417,1.33010901084372
10,22,4,15567.1077175167,0.886195258335962
10,23,0,19004.6062144758,1.17051018306427
10,23,1,20572.8590268125,1.29225330483181
10,23,2,18218.0682104172,1.14611943120366
10,23,4,17137.0266741077,1.06472699010719
11,24,0,24328.7985301539,1.46328779173192
11,24,1,16759.2815486146,1.04665272841317
11,24,2,16926.0775999473,1.06657581705878
11,24,3,11992.0550823319,0.751263053032138
