Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,1593.46760994444,0.484558750819106
1,1,1,2131.38150285714,0.689543336286914
1,1,2,1607.65039394192,0.511162656979448
1,1,3,1639.14095466936,0.523102287187516
1,2,0,2357.1063272875,0.726362980965295
1,2,1,2396.66837639583,0.734831660735108
1,2,2,1672.55623616969,0.524808090579106
1,2,3,1881.1094146875,0.591824348556666
1,2,4,1994.53431515476,0.632309590917158
3,4,0,1454.04424351667,0.460337068600382
3,4,1,1021.60361039286,0.320664040037735
3,4,2,1092.03339030556,0.339893834135362
3,4,3,1391.43253128704,0.439466316142173
3,4,4,1610.41274713889,0.5522198396068
3,5,0,1729.03182011274,0.560958243654287
3,5,1,1482.44981573864,0.47604757015789
3,5,2,1590.50125694663,0.506641071544575
3,5,3,1363.04563303436,0.434882574165871
3,5,4,1542.4528559693,0.486521762365177
4,6,0,4081.53338653846,1.31953398630767
4,6,1,3388.36349764216,1.09525795220484
4,6,2,3634.68353346224,1.1793261265194
4,6,3,3759.55431155903,1.23939074016349
4,7,0,3152.91568114881,1.00722559814213
4,7,1,2712.82469208929,0.85553498947927
4,7,2,2955.90489795745,0.954337373948832
4,7,3,3173.48282359959,1.02652732684611
4,7,4,2683.06070135476,0.860318469187564
5,8,0,2975.20771152652,0.952378213826829
5,8,1,3421.86900670139,1.11437668608957
5,8,2,3585.69360479023,1.182813938042
5,8,3,3464.72566898611,1.10535879072514
5,8,4,3513.89745172464,1.10755383278855
6,9,0,3283.42792175333,1.0417703699354
6,9,1,3171.35676952778,1.02622729888246
6,9,2,3370.37880133475,1.07636498466656
6,9,4,3132.16958981667,0.981871585216339
7,10,0,2713.04162555556,0.832566639161064
7,10,1,2938.02237112037,0.97412928040292
7,10,2,2830.71800157924,0.922660987290338
7,10,3,2454.80739534115,0.792462610743365
7,10,4,2739.40884210269,0.887152417688968
7,11,0,2626.69208922024,0.855038099112531
7,11,1,2681.62782882292,0.862224900450372
7,11,2,2431.38670071701,0.791203000934883
7,11,4,2385.12697653409,0.777451661043653
8,12,0,3488.64440353095,1.15767818596573
8,12,1,3448.66191156629,1.12970344767326
8,12,2,3168.09249116444,1.03620870196765
8,12,3,3377.62126267593,1.09875184822624
8,12,4,3944.71523027917,1.30516716173275
8,13,0,3056.09686353283,0.98412648710101
8,13,1,2698.73747090079,0.887240109389174
8,13,2,3083.5664805099,1.00888721751089
8,13,4,2830.49977080469,0.930231185631436
8,14,0,2950.63184099405,0.972522106461401
8,14,1,3412.44075799333,1.14570384540144
8,14,2,2786.23623511747,0.915726555335813
8,14,4,2950.19958527381,0.967139941408312
9,15,0,3806.20685677536,1.24452818919497
9,15,1,3093.21733517083,1.00262525586021
9,15,2,3155.48485728274,1.00982834102938
9,15,3,1528.73270633333,0.452775276141962
9,15,4,2858.90028085333,0.91940782554568
9,16,0,3209.59078140972,1.01474994171198
9,16,1,3106.10070044737,0.994955764423874
9,16,2,3215.63360309082,1.0319682710076
9,16,3,3968.226666875,1.3395010741304
9,16,4,3255.01034882165,1.0519383387211
9,17,0,4303.88830747619,1.37734246636952
9,17,1,3702.14226802083,1.18648504699366
9,17,2,3246.63189506565,1.05177362028496
9,17,3,3209.23354127941,1.04215491537558
9,17,4,3355.61633604808,1.1180962867192
9,18,0,2557.73982970139,0.832682397001585
9,18,1,2897.67721479687,0.968680529699855
9,18,2,3155.17852204337,1.01496922617729
9,18,3,4533.28644320833,1.45944531561152
9,18,4,3082.42957220513,0.986449647315158
10,19,0,3264.31363883937,1.06282784205594
10,19,1,2743.67381265591,0.884087787340608
10,19,2,2797.40594096429,0.908566416387371
10,19,3,3211.42806541667,1.02337886783115
10,19,4,2652.79482799837,0.860438032182448
10,20,0,2714.3240408178,0.88676291013285
10,20,1,3445.38456116667,1.04926231563312
10,20,2,2714.5252315159,0.860913554434888
10,20,3,1370.27299725,0.412178809841025
10,20,4,1907.10243887333,0.636823407182974
10,21,0,3521.9302104037,1.15319730936324
10,21,1,3469.65624996914,1.14415918478155
10,21,2,3347.26150887936,1.09619729605251
10,21,3,3040.84038679167,0.953255210061606
10,21,4,3372.12588394643,1.10595398116082
10,22,0,3102.02940204932,1.00857493794411
10,22,1,4504.06010452778,1.38884858076136
10,22,2,2864.71652814441,0.928417775498548
10,22,3,1218.9136565,0.402104407764561
10,22,4,2682.32246838333,0.826983854011545
10,23,0,2619.85163909848,0.845518220320594
10,23,1,3205.37598281548,1.02655329563436
10,23,2,2950.47273390784,0.954061290766775
10,23,4,3009.16054106707,0.960765193259842
11,24,0,3663.39349544872,1.16457919598252
11,24,1,3094.50749704167,1.00001349605314
11,24,2,3184.34316614667,1.03490161754301
11,24,3,3129.47633658333,1.01817135192498
11,24,4,2154.74504334028,0.670806185523456
11,25,0,4058.63284630833,1.28760736379228
11,25,1,3393.58311083333,1.05901203604841
11,25,2,3501.2381238845,1.13135432860118
11,25,3,3672.50150638889,1.2086238475606
11,26,0,3411.31070449653,1.08182373929043
11,26,1,3239.21123900758,1.05598973373539
11,26,2,3224.47819861168,1.03325570022984
11,26,3,2933.3974602619,0.964526865444107
11,26,4,3627.51774280556,1.12299003299131
11,27,0,3543.63995623889,1.14194172487963
11,27,1,2655.63621788889,0.84271855264785
11,27,2,2970.49362335606,0.957005488435007
11,27,3,3102.262379,0.953976698646167
11,27,4,3389.64343511458,1.10331078207506
