Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,48649.0508551296,1.04822170459835
1,1,1,27512.3062052262,0.594732273861131
1,1,2,34992.4602062386,0.754485329710845
1,1,3,35556.0098799677,0.767601510398799
1,2,0,74461.9552173542,1.6062447047486
1,2,1,60392.5598217292,1.30015390627586
1,2,2,26558.20983434,0.573254206968888
1,2,3,33444.3804117521,0.720648801383963
1,2,4,40687.5388872083,0.879344311414677
3,4,0,56994.4435269333,1.22745038357988
3,4,1,31285.2181991964,0.672907237295692
3,4,2,37852.1046795247,0.815699538001071
3,4,3,34078.2167947222,0.736407999946341
3,4,4,49929.0800999861,1.07687227472301
3,5,0,46373.3854436765,0.997905666095307
3,5,1,29794.1610971818,0.642718056751531
3,5,2,26233.6950064204,0.565823200765738
3,5,3,24630.3221616477,0.530813646860781
3,5,4,34873.2110063882,0.752098934918298
4,6,0,51762.0619572051,1.11324597013421
4,6,1,37162.4897054069,0.799502950331134
4,6,2,26569.5805000534,0.572342080694237
4,6,3,36954.4418478958,0.798137543868268
4,7,0,34556.5173945774,0.742782238821624
4,7,1,39194.4754042262,0.846212345951475
4,7,2,27035.6588318674,0.582382981810811
4,7,3,28964.3009754878,0.624417773688793
4,7,4,21550.4683458452,0.465270702789259
5,8,0,48676.6674360076,1.05088424765379
5,8,1,55310.0687353264,1.19272159423932
5,8,2,64010.0211035287,1.38091843340722
5,8,3,53814.7988187593,1.16045876671992
5,8,4,49846.2387907427,1.07489700491158
6,9,0,30887.9899907467,0.663086011298004
6,9,1,38845.5106483125,0.838483660326213
6,9,2,36246.1547576299,0.781744740234139
6,9,4,43672.8698064667,0.944423847869677
7,10,0,22109.1943184722,0.478533590023062
7,10,1,44609.4794065463,0.963348499782231
7,10,2,34816.4992870663,0.751323264557136
7,10,3,36363.665771546,0.783892379463467
7,10,4,45284.4785618241,0.977314062418302
7,11,0,35562.8418555079,0.765916421347886
7,11,1,52090.1445964167,1.12585593093719
7,11,2,31903.8252233993,0.68815498808056
7,11,4,26676.6333415303,0.575756512981624
8,12,0,35218.3237279548,0.759169015025153
8,12,1,31791.1143722576,0.685119798571444
8,12,2,32301.3774730311,0.698107832980278
8,12,3,21271.6780318426,0.459941101298391
8,12,4,28804.3607350625,0.619505417203303
8,13,0,40717.4377053358,0.87724840338582
8,13,1,33531.407888121,0.72444810834911
8,13,2,21308.8913923762,0.459180438185975
8,13,4,24366.8508565052,0.52559655453127
8,14,0,41900.2020405774,0.900757660424828
8,14,1,36816.51651928,0.793581984119845
8,14,2,27629.5094357701,0.595884521079671
8,14,4,29244.7527741881,0.630701236945415
9,15,0,63277.5311586993,1.36290047705589
9,15,1,33532.4097174792,0.722154671837084
9,15,2,31297.9277350162,0.675130168340994
9,15,3,65961.3011290833,1.41920214239798
9,15,4,31942.4810636467,0.689986227596668
9,16,0,43129.7328642604,0.931312319405463
9,16,1,63554.9593159715,1.37100001507161
9,16,2,35003.3710373977,0.754906319114855
9,16,3,26913.9225613333,0.582360983474152
9,16,4,58454.1298311472,1.26193032690267
9,17,0,47792.7497890238,1.0282159503256
9,17,1,52570.9887883363,1.13149478471622
9,17,2,39320.894302419,0.847794245340043
9,17,3,40089.2486112598,0.862452513058526
9,17,4,43547.0760117981,0.940084737953176
9,18,0,41188.0578308403,0.887529006908158
9,18,1,43407.1985891823,0.935039467883656
9,18,2,29096.7926862951,0.628387366581949
9,18,3,56235.210922625,1.20663587487169
9,18,4,37762.7613843846,0.811441341425766
10,19,0,37813.8881845338,0.814122313874438
10,19,1,21637.312346578,0.467080589044109
10,19,2,22481.910861071,0.484840665523089
10,19,3,53360.7893319167,1.15438994359229
10,19,4,29916.7725387141,0.644930230580018
10,20,0,28879.9667809783,0.623536242660967
10,20,1,48107.2375971667,1.04426137969654
10,20,2,22296.4719386036,0.481347865627607
10,20,3,17209.92082525,0.370291886800415
10,20,4,27980.8820275733,0.604044179249554
10,21,0,38796.4612122944,0.837420886989039
10,21,1,23297.0112502531,0.501915199636366
10,21,2,23000.3101279045,0.495455859485946
10,21,3,52748.339048625,1.14174073924451
10,21,4,43870.6966827946,0.948149755114837
10,22,0,51947.4533578129,1.11970478370418
10,22,1,61186.7897823333,1.31328416102944
10,22,2,22144.1701191905,0.477745474948855
10,22,3,36739.0928704167,0.788830656137193
10,22,4,17634.5801255333,0.377397790205434
10,23,0,46454.8114956318,1.00096600380262
10,23,1,44169.7270582262,0.952552348339306
10,23,2,22089.9926147561,0.477118648738542
10,23,4,28739.857029191,0.618880552953485
11,24,0,65601.9991028846,1.4183232803638
11,24,1,43066.9529871562,0.931992642884565
11,24,2,47027.4070509113,1.0146108906793
11,24,3,36419.5854004025,0.786259205616906
11,24,4,39779.0507415555,0.856732665943172
11,25,0,89177.7579791389,1.92493078528416
11,25,1,76130.7755595238,1.642453955917
11,25,2,52801.493574933,1.13816718352037
11,25,3,33390.5613083055,0.716922273641998
11,26,0,71561.4549568576,1.54121907216528
11,26,1,79414.9952314242,1.71703101920013
11,26,2,55062.3430481972,1.1877027339542
11,26,3,44270.3190139826,0.954608641562185
11,26,4,74393.60491625,1.61333864091769
11,27,0,38194.4508770778,0.822508196734868
11,27,1,34790.0738906944,0.750795206110138
11,27,2,31004.9832301167,0.668958671666006
11,27,3,54004.5370015,1.1686632731799
11,27,4,47731.0645541562,1.02798275596964
11,28,0,41802.0666675055,0.902269753033495
11,28,1,32783.0333258426,0.705566324634279
11,28,2,31875.0667291554,0.688365210439629
11,28,3,29041.6097420949,0.625939292489731
11,28,4,31878.8787699626,0.686932557074692
12,29,0,53195.270428496,1.14836405112055
12,29,1,54663.5522993567,1.17867332404292
12,29,2,41561.3988501221,0.897466197239978
12,29,3,49352.1847022467,1.064703773198
12,29,4,53362.4157555,1.15041527692736
12,30,0,40692.2810098039,0.878575380307532
12,30,1,42366.3507480247,0.916222006901552
12,30,2,42011.3368670751,0.905975903863323
12,30,3,46743.4791651071,1.00773615043471
12,30,4,39746.9679829583,0.860837830522616
12,31,0,43949.4789096833,0.948519228790426
12,31,1,64677.48159775,1.39648140656615
12,31,2,47232.6506746399,1.01909511656412
12,31,3,48333.191161507,1.04209354830196
12,31,4,40189.4102875695,0.863997763090047
12,32,0,57035.3276524694,1.23010039234105
12,32,1,52129.1526480451,1.12310578264865
12,32,2,39352.5777690405,0.849172722766118
12,32,4,47208.091209636,1.01857273858843
13,33,0,56350.6632242696,1.21746907749223
13,33,1,60306.0928257167,1.30345005613667
13,33,2,44268.7365291395,0.954482989590296
13,33,3,31692.6840267936,0.681903297018206
13,33,4,56825.5166315,1.22596420285658
13,34,0,38882.2922512389,0.838072471876568
13,34,1,34040.4273152778,0.732160656606466
13,34,2,22205.8465796392,0.478747527864695
13,34,3,30009.7313072798,0.6496713878959
13,34,4,22194.1518469115,0.476778662074879
13,35,0,49246.6705784306,1.06395643502356
13,35,1,54415.1085997167,1.17022165478417
13,35,2,35302.3968736104,0.761200280378687
13,35,3,31961.7674965688,0.690556216273115
13,35,4,38406.7550674196,0.827277917550397
13,36,0,53120.9529025833,1.13244022187507
13,36,1,61987.9096717103,1.33661880934248
13,36,2,30082.8353742377,0.648943659849595
13,36,3,46552.6138873333,1.0033213969575
13,36,4,43832.2693938333,0.946442917830853
14,37,0,43352.9383986063,0.93684976934673
14,37,1,34021.4834454514,0.734370940801288
14,37,2,34577.6009496763,0.745354286201815
14,37,3,39384.8885791354,0.850639920168188
14,37,4,37479.6880934869,0.808546127454469
14,38,0,48604.7379595128,1.04821876605874
14,38,1,44409.7486346364,0.961020234840816
14,38,2,34785.2772096492,0.751608136463394
14,38,3,43527.945937625,0.939460721460705
14,38,4,45608.689724695,0.981742987361184
14,39,0,55239.0711401727,1.19154143299604
14,39,1,38303.1834018289,0.825879999290954
14,39,2,28898.8231763518,0.622710235824901
14,39,3,34827.8575519298,0.752945828477807
14,39,4,39780.4285069592,0.857917371534264
14,40,0,33288.1799495567,0.718900815373601
14,40,1,32385.1940551254,0.6988370206991
14,40,2,36331.9719104729,0.784105756931799
14,40,3,17961.3399474167,0.389966661035651
14,40,4,37880.9770263721,0.817030515566145
15,41,0,77649.5908239438,1.675380302492
15,41,1,68232.5246748437,1.46704717412324
15,41,2,56391.1190513577,1.21674873867665
15,41,3,50792.0970346964,1.09583503868272
15,41,4,73727.3180280451,1.5929693603282
15,42,0,46120.443792908,0.993633117573463
15,42,1,49888.1004674265,1.07514728898647
15,42,2,37922.3216731468,0.817350110530172
15,42,4,61048.2593018462,1.31474184276153
