Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,8631.13784130556,0.817400788353149
1,1,1,6890.48772144048,0.652516826551715
1,1,2,6140.61760888763,0.581673559218205
1,1,3,5226.22714644086,0.495053604292193
1,2,0,10323.6249774833,0.97780769838758
1,2,1,12149.2982235521,1.1508176479273
1,2,2,9122.11813908998,0.864031579016343
1,2,3,8556.71824071458,0.810511267756707
1,2,4,10439.2784928408,0.98878314682098
3,4,0,8565.52487426667,0.811396417341098
3,4,1,6299.24218844048,0.596742536688331
3,4,2,6821.97653701235,0.646174739615807
3,4,3,6514.42037222222,0.617134632019886
3,4,4,5207.29153681944,0.493137541170468
3,5,0,8471.52777855392,0.802524786771467
3,5,1,5934.49065457954,0.5620609225627
3,5,2,7021.18503816292,0.665102066707696
3,5,3,6807.3128067829,0.644814299279184
3,5,4,6515.41275799561,0.617089621417477
4,6,0,9438.91575346154,0.893975671124798
4,6,1,10950.7673767157,1.03730474534512
4,6,2,11075.8363307174,1.0491888931645
4,6,3,11909.3838389063,1.12811247969297
4,7,0,9589.14179911905,0.908340838452648
4,7,1,8693.63343815476,0.823391616420673
4,7,2,8932.78984994726,0.846161655570627
4,7,3,11368.0384834431,1.07690956669527
4,7,4,9119.57797031429,0.863797609535312
5,8,0,10426.5230188295,0.987837511926415
5,8,1,9557.03156357639,0.90535870609649
5,8,2,10088.1806260057,0.955621208826493
5,8,3,10822.8893901134,1.02520578490375
5,8,4,14819.8555817536,1.40366059180372
6,9,0,9163.61570080334,0.868132363185967
6,9,1,9926.25618547222,0.940245222919613
6,9,2,12670.2247313277,1.20012391158464
6,9,4,11341.6679253,1.07438592111366
7,10,0,9517.62318934722,0.901578587727692
7,10,1,13294.9130808796,1.25937916001562
7,10,2,10054.5759885963,0.95240692145188
7,10,3,7928.37671326823,0.751029403885829
7,10,4,11734.0931094487,1.11153980434285
7,11,0,10606.7850170298,1.00469144568665
7,11,1,9017.75871936458,0.854183971060218
7,11,2,8988.2183525625,0.851390532344915
7,11,4,9358.31701358333,0.886388841744543
8,12,0,8626.92061285714,0.817148633840371
8,12,1,8321.07802217235,0.788187543426413
8,12,2,8008.72585914445,0.758580368397591
8,12,3,8890.28155819445,0.842403217867366
8,12,4,7718.51707337917,0.731133021487548
8,13,0,10980.6054177576,1.04017313896861
8,13,1,9377.03950356151,0.888246937526824
8,13,2,10125.1974799959,0.959104582416918
8,13,4,7206.77485483854,0.682697031616349
8,14,0,9862.68084082143,0.934241449037374
8,14,1,8382.99121921333,0.794069191110753
8,14,2,8459.66815109237,0.80132536202748
8,14,4,9796.71491427143,0.927975623306975
9,15,0,12578.0315777681,1.1915320145629
9,15,1,12889.4454582104,1.22097018276958
9,15,2,12339.8936622907,1.16894734905943
9,15,3,3802.89705341667,0.359970394556376
9,15,4,11815.3806840033,1.11914407886114
9,16,0,13289.3217113993,1.2587038780683
9,16,1,11563.7329531732,1.09542006370619
9,16,2,11499.9633887605,1.08937647512617
9,16,3,7447.27685395833,0.705462618982042
