Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,22587.0198348519,0.845070324194238
1,1,1,32284.1156700238,1.20905868562447
1,1,2,27016.2590595366,1.0039580105592
1,1,3,25434.2249035054,0.940014983675193
1,2,0,42384.1283935417,1.5762745845893
1,2,1,32406.8531017604,1.22215437984311
1,2,2,32002.8424017114,1.19284088310688
1,2,3,24572.155558525,0.919753810078775
1,2,4,37760.6517358824,1.41183579861626
3,4,0,33195.9164217667,1.21389974463832
3,4,1,19266.0963511845,0.72382993845519
3,4,2,27305.6301722624,1.01811567526814
3,4,3,21132.1799097654,0.782059394432328
3,4,4,17791.7889720417,0.657417223521506
3,5,0,13732.4185826912,0.506394626658478
3,5,1,21368.6301684167,0.798271207611727
3,5,2,21368.0288029157,0.790769488035379
3,5,3,18726.8654256769,0.698026733175877
3,5,4,21632.3175229276,0.809219379342899
4,6,0,30605.9438236282,1.15432309928077
4,6,1,25151.8136621029,0.933940513025098
4,6,2,32880.580078974,1.21310642509947
4,6,3,33260.024925684,1.23418323108458
4,7,0,15820.9075594524,0.594247987451089
4,7,1,14436.6477818512,0.535804040504078
4,7,2,24972.4099196449,0.925947089264654
4,7,3,26850.2241578496,1.00527828814727
4,7,4,23989.2445355476,0.888604883581179
5,8,0,28643.0514133826,1.07504135794929
5,8,1,25364.0913905972,0.949397068377983
5,8,2,27612.4614622356,1.02807532304092
5,8,3,29267.6982732315,1.09221009800951
5,8,4,34287.4048445036,1.26524795979535
6,9,0,31876.0950282667,1.1904491648575
6,9,1,37114.1445354861,1.37629430002395
6,9,2,31758.3368779703,1.17991500262197
6,9,4,32188.7908973667,1.20832879004845
7,10,0,17412.031051,0.655780466644057
7,10,1,33990.8696047639,1.2658066962948
7,10,2,27310.7543854939,1.0130426271197
7,10,3,26088.4471584106,0.97312287024019
7,10,4,29073.5051512736,1.07975796514885
7,11,0,19706.0899482698,0.734202957892828
7,11,1,27031.6597463125,1.0108201389625
7,11,2,25268.0577444479,0.933699827167906
7,11,4,22263.2503242083,0.824607499431429
8,12,0,28265.858965619,1.05316374018884
8,12,1,29712.7316800114,1.11298107907128
8,12,2,34175.3275333033,1.26639357218819
8,12,3,44334.7127742963,1.64724068309027
8,12,4,34944.1204232917,1.3087125087216
8,13,0,22897.5030661187,0.855151415482309
8,13,1,22368.8654895139,0.830121976363452
8,13,2,25507.8685046436,0.949952673885208
8,13,4,22561.9113950365,0.83332148819662
8,14,0,29688.6900761071,1.13083167919888
8,14,1,33241.9823808733,1.22232236795111
8,14,2,27674.7674588203,1.03121450360755
8,14,4,21265.0136251905,0.798885407430644
9,15,0,22474.8276426449,0.83873076543842
9,15,1,27798.0723651604,1.03780643995457
9,15,2,26576.0949383757,0.990244926145866
9,15,3,16080.8528160833,0.620628982641231
9,15,4,26107.11422497,0.977772145724888
9,16,0,22266.3340215972,0.824766855540226
9,16,1,23134.760226761,0.867009286714825
9,16,2,25396.717207995,0.944537798777746
9,16,3,15178.12921275,0.561669677159804
9,16,4,24801.5870255841,0.916915256034571
9,17,0,21242.2649899881,0.793696834436074
9,17,1,23021.8219094732,0.857521354222615
9,17,2,23908.9443153119,0.886654709114499
9,17,3,26730.9019665172,0.995447207930357
9,17,4,26747.6393782532,0.993874112687139
