Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,150740.76264725,0.968518591280981
1,1,1,144701.995230774,0.914123080957007
1,1,2,157987.340608577,1.010385099132
1,1,3,149776.033485597,0.949915084032248
1,2,0,217672.948526658,1.3736673050821
1,2,1,163278.23782726,1.05601175257572
1,2,2,186271.169632654,1.17714308031852
1,2,3,200197.994235215,1.27015193346707
1,2,4,193642.812377987,1.23927082704992
3,4,0,170114.805233167,1.08124983951967
3,4,1,105604.563535554,0.673806510983859
3,4,2,120050.956611815,0.770279009029845
3,4,3,148623.745379025,0.912875125817567
3,4,4,144445.918151014,0.920437389378253
3,5,0,158358.602655083,0.982850571810538
3,5,1,174937.183054651,1.0969663706654
3,5,2,163866.43804278,1.03610520597152
3,5,3,159693.1500891,1.01396202237661
3,5,4,153926.175802985,0.986239744806624
4,6,0,164010.064109147,1.02972571118186
4,6,1,106560.105813054,0.672916147281464
4,6,2,145177.855848117,0.92723321846641
4,6,3,137790.743125622,0.871047215247751
4,7,0,123793.398413,0.798461359459544
4,7,1,152881.085644827,0.981225748826256
4,7,2,138128.852581426,0.882664364573476
4,7,3,137767.083380289,0.878920211808432
4,7,4,108841.996998902,0.688914434687676
5,8,0,117559.632866352,0.76280078696387
5,8,1,125099.998365431,0.797967671475763
5,8,2,113939.830738592,0.725056623410775
5,8,3,85386.005999794,0.53479108605545
5,8,4,70575.5258684493,0.432566826682362
6,9,0,140957.300763513,0.894093608165041
6,9,1,150516.765093236,0.977057102612958
6,9,2,150425.033615034,0.954006600192772
6,9,4,111668.39428825,0.672256091820831
7,10,0,144585.978435639,0.928400106881428
7,10,1,140895.736026204,0.900274985181652
7,10,2,159777.116922217,1.01043760861843
7,10,3,156156.988089843,0.9979027580098
7,10,4,138039.068764535,0.885302262004499
7,11,0,169826.244974837,1.08577195848042
7,11,1,149379.940629698,0.927492192875306
7,11,2,161983.291659762,1.0342704055954
7,11,4,136382.332597924,0.85593098575292
8,12,0,157142.409747552,1.01011422487152
8,12,1,127190.679185443,0.814678639163106
8,12,2,155876.306219651,0.990832703999193
8,12,3,192420.962770583,1.21672973827728
8,12,4,148722.704153737,0.933247059319216
8,13,0,165513.843090528,1.05549716023896
8,13,1,156185.988510117,0.996775908061548
8,13,2,153897.969952379,0.975798018619477
8,13,4,147054.005842393,0.932572090212501
8,14,0,167708.122822304,1.05941912204285
8,14,1,128293.44270802,0.813045109028716
8,14,2,145574.523042204,0.924374004494779
8,14,4,166283.350220071,1.04287791825285
9,15,0,149196.391314297,0.951936301175712
9,15,1,143095.321712383,0.895494469156715
9,15,2,143942.169785047,0.914067693761101
9,15,3,142909.409955,0.899739337333205
9,15,4,138928.983550497,0.867194166521833
9,16,0,156838.846748052,0.984772064324595
9,16,1,187848.76527346,1.18172073593651
9,16,2,147706.981626878,0.944161047293032
9,16,3,189593.868143292,1.21603367920233
9,16,4,161182.835666195,1.02583990097336
9,17,0,187799.251608964,1.19878122253082
9,17,1,175747.319755961,1.1235043804191
9,17,2,155902.339296013,0.996489460962674
9,17,3,162946.427048836,1.03256152696308
9,17,4,143937.196933449,0.910726755046883
9,18,0,181074.358344979,1.14937841260939
9,18,1,146571.102251615,0.943251655963183
9,18,2,146929.242982022,0.936886653337261
9,18,3,128182.420986792,0.767329006188718
9,18,4,186102.803503564,1.1958771276239
10,19,0,135517.705896871,0.859955144327107
10,19,1,152825.298445129,0.978573200059565
10,19,2,161295.304843649,1.03151589669713
10,19,3,214672.101230333,1.43924381212102
10,19,4,142928.218773525,0.906954509048951
10,20,0,137059.682680527,0.871741299654481
10,20,1,182927.698541667,1.16533658944536
10,20,2,160188.171522598,1.01425880576013
10,20,3,211363.612330375,1.33412892234459
10,20,4,143042.531669613,0.926238266059111
10,21,0,153589.015449702,0.973743135801022
10,21,1,144786.848461691,0.918833338108853
10,21,2,176137.454051343,1.11880661165211
10,21,3,91810.3029682083,0.584238826975905
10,21,4,108401.021877351,0.69411300154896
