Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,34109.6721556111,0.765964034508719
1,1,1,74574.6972602381,1.75125159884905
1,1,2,46487.0778424444,0.976790446056529
1,1,3,64627.3154310403,1.32350934990921
1,2,0,27765.7692400625,0.601100969155271
1,2,1,56827.0114743646,1.09682474407474
1,2,2,34047.0957400664,0.763370092528852
1,2,3,49253.1435011917,1.05419596674545
1,2,4,46978.5755656086,0.993354875433515
3,4,0,37295.4752468667,0.76382356361841
3,4,1,67579.2656863095,1.39571491327794
3,4,2,47451.9439348364,0.985812413662192
3,4,3,63841.7168194475,1.39176911737846
3,4,4,26715.5041069583,0.632092814492002
3,5,0,27479.8132397843,0.613902106698488
3,5,1,35108.2563614886,0.707980526947718
3,5,2,39551.0770161058,0.853591765390032
3,5,3,39467.1371912975,0.810520108003761
3,5,4,34059.0950516667,0.683724093975988
4,6,0,23415.2924331795,0.506689583824023
4,6,1,34505.1956074559,0.770356249719608
4,6,2,42819.2446822318,0.935417652163071
4,6,3,42483.3847447917,0.895488492283056
4,7,0,19688.5318596429,0.406505462249753
4,7,1,22002.7961767202,0.489584966801951
4,7,2,35637.83675652,0.758894525912979
4,7,3,53078.068126622,1.15349370592614
4,7,4,39918.2281544119,0.822105598622303
5,8,0,42226.1252176932,0.898431809273574
5,8,1,41019.3412991458,0.862909649418624
5,8,2,39729.5709903103,0.836961025440693
5,8,3,39567.2198987037,0.831864060070865
5,8,4,53973.3232225435,1.13316096370479
6,9,0,45302.7146373467,1.016117084346
6,9,1,45302.7380014028,0.863789200963678
6,9,2,60374.6587763009,1.30303552785641
6,9,4,89782.2322324333,1.89744855878934
7,10,0,37717.7483370139,0.857328102003657
7,10,1,36166.5569146296,0.757714423685491
7,10,2,41213.5320075854,0.882208581415963
7,10,3,47691.6418629497,1.02376485245731
7,10,4,36203.079266904,0.772708829759063
7,11,0,39190.3264159802,0.858665752201136
7,11,1,16474.6136864063,0.399628234668383
7,11,2,27767.7656262708,0.605860367706008
7,11,4,33436.6142857045,0.688740776947579
8,12,0,50625.79553705,1.0584168396113
8,12,1,52263.2056740492,1.12441402726665
8,12,2,44676.5552520811,0.94012257338839
8,12,3,27603.0485581944,0.693323192200021
