Subject,Session,SleepStage,Phi_,Phi_z
1,1,0,1750.11939362037,0.945699348090641
1,1,1,1219.0915724881,0.623034661896825
1,1,2,1433.16203498737,0.772879425437786
1,1,3,1046.43123344892,0.566584823432897
1,2,0,2978.08231885417,1.54965702693686
1,2,1,3826.96093663542,2.04321021690883
1,2,2,1616.55210485568,0.86381150768706
1,2,3,1208.26000302708,0.654359568816258
1,2,4,2632.1132175878,1.39279521294476
3,4,0,1472.83357081667,0.819736449434409
3,4,1,1255.092316125,0.690243438152157
3,4,2,789.799780524691,0.423333939908359
3,4,3,1014.47520240741,0.541083724519626
3,4,4,947.838517569444,0.512959666051336
3,5,0,2022.03282901471,1.07543098724419
3,5,1,1948.67649984848,1.04024685109241
3,5,2,1458.4798174176,0.77544439322558
3,5,3,1292.73178809576,0.679020585327176
3,5,4,2198.90917711623,1.1701722753098
4,6,0,3314.88992945513,1.76845599331335
4,6,1,1244.69965031373,0.701854115528189
4,6,2,1330.6271735599,0.696813191946981
4,6,3,1056.54674090625,0.563044684645643
4,7,0,1316.8366395,0.692505288688919
4,7,1,1765.82366030952,0.942376278796408
4,7,2,1320.77885653129,0.702341131520783
4,7,3,958.90667719309,0.521592680542608
4,7,4,1335.43211549524,0.700343960673942
5,8,0,1226.59947406439,0.665250757490151
5,8,1,1377.16740611111,0.737178239217076
5,8,2,1329.73711612644,0.702649645993604
5,8,3,921.646971365741,0.506985882303557
5,8,4,867.95236509058,0.46052238567558
6,9,0,701.57963495,0.391658727396169
6,9,1,1017.24117584028,0.52710954417645
6,9,2,1238.63086468644,0.655557296092527
6,9,4,442.922465483333,0.213582717719375
7,10,0,1817.80009672222,0.938159820130946
7,10,1,1120.99672558333,0.603983739038722
7,10,2,1111.78353891325,0.596134599063783
7,10,3,880.155665510416,0.477411739830902
7,10,4,1164.22398549074,0.609979024128664
7,11,0,1423.93096905357,0.774869358548455
7,11,1,1014.34547133333,0.546838325705379
7,11,2,1350.16214224306,0.698247116761374
7,11,4,831.960354003788,0.436385369833348
8,12,0,1433.35683363333,0.74922316062912
8,12,1,1131.6570792803,0.591354384218849
8,12,2,1618.11458057111,0.848683997823856
8,12,3,1183.24091460185,0.668476327640681
8,12,4,1756.99334366667,0.945481080997521
8,13,0,2317.02031505808,1.24902436780838
8,13,1,1759.47311007341,0.934329354960352
8,13,2,1646.8821525363,0.863705514372258
8,13,4,1423.97972371875,0.762717551385747
8,14,0,2310.88891671429,1.24031035387883
8,14,1,1771.65568570667,0.911354795129723
8,14,2,1206.61167375201,0.652900343882056
8,14,4,1880.32120583809,0.979444640093714
9,15,0,1152.87519407609,0.623933788843069
9,15,1,1204.75627094375,0.628540222311618
9,15,2,1245.1530693631,0.675122624349304
9,15,3,1065.07758433333,0.624779801597355
9,15,4,1282.45300686667,0.674554374572092
